Step,Information:,X=12.6191p,Run:,5/20
1.00000000000000e-001,5.35665019517943e+003,-5.90240189533773e+002,1.26191000000000e-011,0.00000000000000e+000
1.25892541179417e-001,5.31777600099124e+003,-7.37442109523737e+002,1.26191000000000e-011,0.00000000000000e+000
1.58489319246111e-001,5.25735611073606e+003,-9.17375845164107e+002,1.26191000000000e-011,0.00000000000000e+000
1.99526231496888e-001,5.16447806010602e+003,-1.13360324090434e+003,1.26191000000000e-011,0.00000000000000e+000
2.51188643150958e-001,5.02409595950716e+003,-1.38658316739386e+003,1.26191000000000e-011,0.00000000000000e+000
3.16227766016838e-001,4.81723818626214e+003,-1.67040258196770e+003,1.26191000000000e-011,0.00000000000000e+000
3.98107170553497e-001,4.52356614939743e+003,-1.96850543605258e+003,1.26191000000000e-011,0.00000000000000e+000
5.01187233627272e-001,4.12795059743816e+003,-2.25025546515787e+003,1.26191000000000e-011,0.00000000000000e+000
6.30957344480193e-001,3.63105200849316e+003,-2.47246918220033e+003,1.26191000000000e-011,0.00000000000000e+000
7.94328234724282e-001,3.05906045311706e+003,-2.59032023602224e+003,1.26191000000000e-011,0.00000000000000e+000
1.00000000000000e+000,2.46313457592045e+003,-2.57592470949491e+003,1.26191000000000e-011,0.00000000000000e+000
1.25892541179417e+000,1.90343640210941e+003,-2.43284561600496e+003,1.26191000000000e-011,0.00000000000000e+000
1.58489319246111e+000,1.42669451203537e+003,-2.19412674930511e+003,1.26191000000000e-011,0.00000000000000e+000
1.99526231496888e+000,1.05326047476160e+003,-1.90565266645350e+003,1.26191000000000e-011,0.00000000000000e+000
2.51188643150958e+000,7.79495233704629e+002,-1.60851056726399e+003,1.26191000000000e-011,0.00000000000000e+000
3.16227766016838e+000,5.88391272907599e+002,-1.33024503127703e+003,1.26191000000000e-011,0.00000000000000e+000
3.98107170553498e+000,4.59506337695598e+002,-1.08480300004869e+003,1.26191000000000e-011,0.00000000000000e+000
5.01187233627273e+000,3.74590320219137e+002,-8.76416204335980e+002,1.26191000000000e-011,0.00000000000000e+000
6.30957344480194e+000,3.19501131478175e+002,-7.03742699777461e+002,1.26191000000000e-011,0.00000000000000e+000
7.94328234724282e+000,2.84119522726886e+002,-5.62859493199627e+002,1.26191000000000e-011,0.00000000000000e+000
1.00000000000000e+001,2.61541838043263e+002,-4.49036770870699e+002,1.26191000000000e-011,0.00000000000000e+000
1.25892541179417e+001,2.47194043584475e+002,-3.57645831928942e+002,1.26191000000000e-011,0.00000000000000e+000
1.58489319246112e+001,2.38100242565786e+002,-2.84551903401091e+002,1.26191000000000e-011,0.00000000000000e+000
1.99526231496888e+001,2.32346222412690e+002,-2.26233923461574e+002,1.26191000000000e-011,0.00000000000000e+000
2.51188643150958e+001,2.28709481585326e+002,-1.79773864400301e+002,1.26191000000000e-011,0.00000000000000e+000
3.16227766016838e+001,2.26412824564055e+002,-1.42792053205036e+002,1.26191000000000e-011,0.00000000000000e+000
3.98107170553498e+001,2.24963628502392e+002,-1.13366583666483e+002,1.26191000000000e-011,0.00000000000000e+000
5.01187233627273e+001,2.24050324270133e+002,-8.99543084239295e+001,1.26191000000000e-011,0.00000000000000e+000
