Step,Information:,X=2p,Run:,1/20
3.16227766016838e+001,2.26623071606436e+002,-1.42465887192267e+002,2.00000000000000e-012,0.00000000000000e+000
3.98107170553498e+001,2.25173581666163e+002,-1.12957623987503e+002,2.00000000000000e-012,0.00000000000000e+000
5.01187233627273e+001,2.24259798505858e+002,-8.94407700377445e+001,2.00000000000000e-012,0.00000000000000e+000
6.30957344480194e+001,2.23684975621185e+002,-7.06749535862892e+001,2.00000000000000e-012,0.00000000000000e+000
7.94328234724283e+001,2.23325233121971e+002,-5.56668621861656e+001,2.00000000000000e-012,0.00000000000000e+000
1.00000000000000e+002,2.23102996212567e+002,-4.36203337493623e+001,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e+002,2.22970319557555e+002,-3.38954812429125e+001,2.00000000000000e-012,0.00000000000000e+000
1.58489319246112e+002,2.22898560666886e+002,-2.59754266269803e+001,2.00000000000000e-012,0.00000000000000e+000
1.99526231496888e+002,2.22872193676325e+002,-1.94392729651660e+001,2.00000000000000e-012,0.00000000000000e+000
2.51188643150958e+002,2.22885425250373e+002,-1.39401201740755e+001,2.00000000000000e-012,0.00000000000000e+000
3.16227766016839e+002,2.22940852562038e+002,-9.18716089067187e+000,2.00000000000000e-012,0.00000000000000e+000
3.98107170553498e+002,2.23049794523738e+002,-4.93116678296762e+000,2.00000000000000e-012,0.00000000000000e+000
5.01187233627273e+002,2.23234171786211e+002,-9.53016924650735e-001,2.00000000000000e-012,0.00000000000000e+000
6.30957344480194e+002,2.23529879064665e+002,2.94462521625932e+000,2.00000000000000e-012,0.00000000000000e+000
7.94328234724283e+002,2.23991330735838e+002,6.94178799392477e+000,2.00000000000000e-012,0.00000000000000e+000
1.00000000000000e+003,2.24695936113960e+002,1.12005324180332e+001,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e+003,2.25745235810487e+002,1.58579178243525e+001,2.00000000000000e-012,0.00000000000000e+000
1.58489319246112e+003,2.27256386070088e+002,2.10136836249640e+001,2.00000000000000e-012,0.00000000000000e+000
1.99526231496888e+003,2.29336066615256e+002,2.67207719528297e+001,2.00000000000000e-012,0.00000000000000e+000
2.51188643150959e+003,2.32035750315616e+002,3.29980611639425e+001,2.00000000000000e-012,0.00000000000000e+000
3.16227766016839e+003,2.35309769213996e+002,3.98883425776822e+001,2.00000000000000e-012,0.00000000000000e+000
3.98107170553498e+003,2.39023263043142e+002,4.75587325188634e+001,2.00000000000000e-012,0.00000000000000e+000
5.01187233627273e+003,2.43044029172866e+002,5.63899679031287e+001,2.00000000000000e-012,0.00000000000000e+000
6.30957344480195e+003,2.47387119226469e+002,6.69870989315616e+001,2.00000000000000e-012,0.00000000000000e+000
7.94328234724283e+003,2.52338390063586e+002,8.01050645588014e+001,2.00000000000000e-012,0.00000000000000e+000
1.00000000000000e+004,2.58525607296225e+002,9.65433420051368e+001,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e+004,2.66972151272037e+002,1.17045228938944e+002,2.00000000000000e-012,0.00000000000000e+000
1.58489319246112e+004,2.79177262614698e+002,1.42173077706429e+002,2.00000000000000e-012,0.00000000000000e+000
1.99526231496889e+004,2.97219457250742e+002,1.72085975701378e+002,2.00000000000000e-012,0.00000000000000e+000
2.51188643150959e+004,3.23804271372935e+002,2.06140073052365e+002,2.00000000000000e-012,0.00000000000000e+000
3.16227766016839e+004,3.62077956398460e+002,2.42280426309073e+002,2.00000000000000e-012,0.00000000000000e+000
3.98107170553498e+004,4.14934833862246e+002,2.76358098448015e+002,2.00000000000000e-012,0.00000000000000e+000
5.01187233627274e+004,4.83612176003421e+002,3.01836694798605e+002,2.00000000000000e-012,0.00000000000000e+000
6.30957344480195e+004,5.65865649209380e+002,3.10656127420468e+002,2.00000000000000e-012,0.00000000000000e+000
7.94328234724284e+004,6.54906936354177e+002,2.95664369662838e+002,2.00000000000000e-012,0.00000000000000e+000
1.00000000000000e+005,7.40529960868737e+002,2.53601792319540e+002,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e+005,8.12278548055915e+002,1.86430969217588e+002,2.00000000000000e-012,0.00000000000000e+000
1.58489319246112e+005,8.62402213541826e+002,9.99456361056549e+001,2.00000000000000e-012,0.00000000000000e+000
1.99526231496889e+005,8.86589257185561e+002,1.14953338091580e+000,2.00000000000000e-012,0.00000000000000e+000
2.51188643150959e+005,8.82784782287284e+002,-1.03343751161044e+002,2.00000000000000e-012,0.00000000000000e+000
3.16227766016839e+005,8.49866882816690e+002,-2.07116257475916e+002,2.00000000000000e-012,0.00000000000000e+000
3.98107170553499e+005,7.87607629120093e+002,-3.02796545720453e+002,2.00000000000000e-012,0.00000000000000e+000
