Step,Information:,X=5.02377n,Run:,18/20
1.00000000000000e-001,5.35432533517609e+003,-6.06204631708377e+002,5.02377000000000e-009,0.00000000000000e+000
1.25892541179417e-001,5.31413157670723e+003,-7.57305861054980e+002,5.02377000000000e-009,0.00000000000000e+000
1.58489319246111e-001,5.25167858674022e+003,-9.41927669999933e+002,5.02377000000000e-009,0.00000000000000e+000
1.99526231496888e-001,5.15571750721240e+003,-1.16364109730207e+003,5.02377000000000e-009,0.00000000000000e+000
2.51188643150958e-001,5.01077264488869e+003,-1.42276939091001e+003,5.02377000000000e-009,0.00000000000000e+000
3.16227766016838e-001,4.79740427582819e+003,-1.71301405191348e+003,5.02377000000000e-009,0.00000000000000e+000
3.98107170553497e-001,4.49492387426038e+003,-2.01708840260111e+003,5.02377000000000e-009,0.00000000000000e+000
5.01187233627272e-001,4.08824631746155e+003,-2.30330063090990e+003,5.02377000000000e-009,0.00000000000000e+000
6.30957344480193e-001,3.57875645047924e+003,-2.52736725291787e+003,5.02377000000000e-009,0.00000000000000e+000
7.94328234724282e-001,2.99405801740454e+003,-2.64386139262135e+003,5.02377000000000e-009,0.00000000000000e+000
1.00000000000000e+000,2.38691537429749e+003,-2.62525525865177e+003,5.02377000000000e-009,0.00000000000000e+000
1.25892541179417e+000,1.81854517988166e+003,-2.47631418873300e+003,5.02377000000000e-009,0.00000000000000e+000
1.58489319246111e+000,1.33581918954214e+003,-2.23148566343862e+003,5.02377000000000e-009,0.00000000000000e+000
1.99526231496888e+000,9.58569095478192e+002,-1.93766909366234e+003,5.02377000000000e-009,0.00000000000000e+000
2.51188643150958e+000,6.82444118583365e+002,-1.63643246290064e+003,5.02377000000000e-009,0.00000000000000e+000
3.16227766016838e+000,4.89831732968672e+002,-1.35543585204313e+003,5.02377000000000e-009,0.00000000000000e+000
3.98107170553498e+000,3.59860713399694e+002,-1.10858614811972e+003,5.02377000000000e-009,0.00000000000000e+000
5.01187233627273e+000,2.73982823246627e+002,-9.00048170915794e+002,5.02377000000000e-009,0.00000000000000e+000
6.30957344480194e+000,2.17820476573752e+002,-7.28437397790983e+002,5.02377000000000e-009,0.00000000000000e+000
7.94328234724282e+000,1.81022818290364e+002,-5.89818336115125e+002,5.02377000000000e-009,0.00000000000000e+000
1.00000000000000e+001,1.56412479674769e+002,-4.79457951687983e+002,5.02377000000000e-009,0.00000000000000e+000
1.25892541179417e+001,1.39066058606547e+002,-3.92689226152392e+002,5.02377000000000e-009,0.00000000000000e+000
1.58489319246112e+001,1.25570909245008e+002,-3.25231372132375e+002,5.02377000000000e-009,0.00000000000000e+000
1.99526231496888e+001,1.13524671779343e+002,-2.73210060241783e+002,5.02377000000000e-009,0.00000000000000e+000
2.51188643150958e+001,1.01287465176306e+002,-2.33050097668918e+002,5.02377000000000e-009,0.00000000000000e+000
3.16227766016838e+001,8.79610699864745e+001,-2.01399183446069e+002,5.02377000000000e-009,0.00000000000000e+000
3.98107170553498e+001,7.34814126402530e+001,-1.75233545834867e+002,5.02377000000000e-009,0.00000000000000e+000
5.01187233627273e+001,5.85924813969865e+001,-1.52181321155357e+002,5.02377000000000e-009,0.00000000000000e+000
6.30957344480194e+001,4.45022225895463e+001,-1.30855386381239e+002,5.02377000000000e-009,0.00000000000000e+000
