Step,Information:,X=1.26191n,Run:,15/20
1.58489319246112e+002,4.46152884498862e+001,-4.74510780612858e+001,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496888e+002,4.36273819571089e+001,-5.24278896024814e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150958e+002,4.24228389305286e+001,-5.75660825393072e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016839e+002,4.10161912898402e+001,-6.24894239261333e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553498e+002,3.94391460299450e+001,-6.69233509844858e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627273e+002,3.77299624792657e+001,-7.07150976115187e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480194e+002,3.59247908386831e+001,-7.38133789949719e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724283e+002,3.40532677564147e+001,-7.62311098516727e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+003,3.21376809529355e+001,-7.80106163552776e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+003,3.01940610841742e+001,-7.91989919901506e+001,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+003,2.82339445832909e+001,-7.98333159669958e+001,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496888e+003,2.62661948709069e+001,-7.99329375967226e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150959e+003,2.42986896782645e+001,-7.94963998937500e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016839e+003,2.23398480307918e+001,-7.85015478775263e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553498e+003,2.04000321427214e+001,-7.69079419941292e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627273e+003,1.84929531002702e+001,-7.46613297947646e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480195e+003,1.66372424365331e+001,-7.17016315230651e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724283e+003,1.48580576947997e+001,-6.79780410866595e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+004,1.31879127078653e+001,-6.34748486978875e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+004,1.16651898750702e+001,-5.82469080927254e+001,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+004,1.03287257123416e+001,-5.24533923001345e+001,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496889e+004,9.20851694382892e+000,-4.63672655096757e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150959e+004,8.31602112595392e+000,-4.03400665325258e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016839e+004,7.63976509400842e+000,-3.47280543635066e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553498e+004,7.14929335954587e+000,-2.98175496459497e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627274e+004,6.80461140574190e+000,-2.57880721822805e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480195e+004,6.56539715107663e+000,-2.27206808746916e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724284e+004,6.39634756044230e+000,-2.06317455223212e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+005,6.26844266908710e+000,-1.95093790012190e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+005,6.15757665584801e+000,-1.93404046347447e+001,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+005,6.04196425891724e+000,-2.01251114507874e+001,-1.77979432361381e+002,0.00000000000000e+000
