Step,Information:,X=10n,Run:,20/20
1.00000000000000e-001,7.46284719807073e+001,-6.62959791537563e+000,-1.60000000000000e+002,0.00000000000000e+000
1.25892541179417e-001,7.45944847563749e+001,-8.32428040887757e+000,-1.60000000000000e+002,0.00000000000000e+000
1.58489319246111e-001,7.45411579412596e+001,-1.04364987675966e+001,-1.60000000000000e+002,0.00000000000000e+000
1.99526231496888e-001,7.44579602674672e+001,-1.30542923847279e+001,-1.60000000000000e+002,0.00000000000000e+000
2.51188643150958e-001,7.43292831440175e+001,-1.62707014038506e+001,-1.60000000000000e+002,0.00000000000000e+000
3.16227766016838e-001,7.41328504133012e+001,-2.01714509509302e+001,-1.60000000000000e+002,0.00000000000000e+000
3.98107170553497e-001,7.38386659247452e+001,-2.48127300701181e+001,-1.60000000000000e+002,0.00000000000000e+000
5.01187233627272e-001,7.34097764737930e+001,-3.01887113582360e+001,-1.60000000000000e+002,0.00000000000000e+000
6.30957344480193e-001,7.28064937322534e+001,-3.61964230688782e+001,-1.60000000000000e+002,0.00000000000000e+000
7.94328234724282e-001,7.19947510977476e+001,-4.26173564826157e+001,-1.60000000000000e+002,0.00000000000000e+000
1.00000000000000e+000,7.09562739472841e+001,-4.91391574541237e+001,-1.60000000000000e+002,0.00000000000000e+000
1.25892541179417e+000,6.96951567788968e+001,-5.54217221237278e+001,-1.60000000000000e+002,0.00000000000000e+000
1.58489319246111e+000,6.82364180644825e+001,-6.11779293454763e+001,-1.60000000000000e+002,0.00000000000000e+000
1.99526231496888e+000,6.66175874246130e+001,-6.62262550383010e+001,-1.60000000000000e+002,0.00000000000000e+000
2.51188643150958e+000,6.48787351096816e+001,-7.04968432157256e+001,-1.60000000000000e+002,0.00000000000000e+000
3.16227766016838e+000,6.30555578036926e+001,-7.40048311474251e+001,-1.60000000000000e+002,0.00000000000000e+000
3.98107170553498e+000,6.11766397410147e+001,-7.68150925957972e+001,-1.60000000000000e+002,0.00000000000000e+000
5.01187233627273e+000,5.92636488859639e+001,-7.90141046929796e+001,-1.60000000000000e+002,0.00000000000000e+000
6.30957344480194e+000,5.73328171850061e+001,-8.06935760695290e+001,-1.60000000000000e+002,0.00000000000000e+000
7.94328234724282e+000,5.53965269732658e+001,-8.19444561637970e+001,-1.60000000000000e+002,0.00000000000000e+000
