Step,Information:,X=316.979p,Run:,12/20
1.00000000000000e-001,5.35651170402709e+003,-5.91210296709726e+002,3.16979000000000e-010,0.00000000000000e+000
1.25892541179417e-001,5.31755888020985e+003,-7.38649515085124e+002,3.16979000000000e-010,0.00000000000000e+000
1.58489319246111e-001,5.25701780851660e+003,-9.18868893744224e+002,3.16979000000000e-010,0.00000000000000e+000
1.99526231496888e-001,5.16395591623289e+003,-1.13543121542595e+003,3.16979000000000e-010,0.00000000000000e+000
2.51188643150958e-001,5.02330155562240e+003,-1.38878776777143e+003,3.16979000000000e-010,0.00000000000000e+000
3.16227766016838e-001,4.81605490406967e+003,-1.67300313150694e+003,3.16979000000000e-010,0.00000000000000e+000
3.98107170553497e-001,4.52185596420386e+003,-1.97147831003158e+003,3.16979000000000e-010,0.00000000000000e+000
5.01187233627272e-001,4.12557730831489e+003,-2.25351449835534e+003,3.16979000000000e-010,0.00000000000000e+000
6.30957344480193e-001,3.62792179113415e+003,-2.47586250742684e+003,3.16979000000000e-010,0.00000000000000e+000
7.94328234724282e-001,3.05516357423241e+003,-2.59365954289203e+003,3.16979000000000e-010,0.00000000000000e+000
1.00000000000000e+000,2.45855803855431e+003,-2.57904241482846e+003,3.16979000000000e-010,0.00000000000000e+000
1.25892541179417e+000,1.89833211328752e+003,-2.43564647543139e+003,3.16979000000000e-010,0.00000000000000e+000
1.58489319246111e+000,1.42122506083331e+003,-2.19660149443168e+003,3.16979000000000e-010,0.00000000000000e+000
1.99526231496888e+000,1.04755901276057e+003,-1.90785605327177e+003,3.16979000000000e-010,0.00000000000000e+000
2.51188643150958e+000,7.73653516549550e+002,-1.61053016728110e+003,3.16979000000000e-010,0.00000000000000e+000
3.16227766016838e+000,5.82466072019149e+002,-1.33217991529987e+003,3.16979000000000e-010,0.00000000000000e+000
3.98107170553498e+000,4.53530637227998e+002,-1.08675523297590e+003,3.16979000000000e-010,0.00000000000000e+000
5.01187233627273e+000,3.68582442079866e+002,-8.78490641898663e+002,3.16979000000000e-010,0.00000000000000e+000
6.30957344480194e+000,3.13470477225420e+002,-7.06050768859664e+002,3.16979000000000e-010,0.00000000000000e+000
7.94328234724282e+000,2.78069650323629e+002,-5.65524732907512e+002,3.16979000000000e-010,0.00000000000000e+000
1.00000000000000e+001,2.55471749394380e+002,-4.52201411427353e+002,3.16979000000000e-010,0.00000000000000e+000
1.25892541179417e+001,2.41098206200725e+002,-3.61478409832741e+002,3.16979000000000e-010,0.00000000000000e+000
1.58489319246112e+001,2.31967501026341e+002,-2.89256205276789e+002,3.16979000000000e-010,0.00000000000000e+000
1.99526231496888e+001,2.26157443181684e+002,-2.32059672329380e+002,3.16979000000000e-010,0.00000000000000e+000
2.51188643150958e+001,2.22433466110375e+002,-1.87029619537390e+002,3.16979000000000e-010,0.00000000000000e+000
3.16227766016838e+001,2.19999646388923e+002,-1.51860809048363e+002,3.16979000000000e-010,0.00000000000000e+000
3.98107170553498e+001,2.18334020393249e+002,-1.24724488724324e+002,3.16979000000000e-010,0.00000000000000e+000
5.01187233627273e+001,2.17078971854138e+002,-1.04192685370575e+002,3.16979000000000e-010,0.00000000000000e+000
6.30957344480194e+001,2.15965764998907e+002,-8.91706686481292e+001,3.16979000000000e-010,0.00000000000000e+000
7.94328234724283e+001,2.14758474029397e+002,-7.88382144037955e+001,3.16979000000000e-010,0.00000000000000e+000
1.00000000000000e+002,2.13206890202351e+002,-7.25966419288635e+001,3.16979000000000e-010,0.00000000000000e+000
1.25892541179417e+002,2.11001437392015e+002,-7.00152676003927e+001,3.16979000000000e-010,0.00000000000000e+000
1.58489319246112e+002,2.07727386324487e+002,-7.07668791430960e+001,3.16979000000000e-010,0.00000000000000e+000
1.99526231496888e+002,2.02823593256616e+002,-7.45373443999449e+001,3.16979000000000e-010,0.00000000000000e+000
2.51188643150958e+002,1.95566610086700e+002,-8.08931498014667e+001,3.16979000000000e-010,0.00000000000000e+000
3.16227766016839e+002,1.85126137283350e+002,-8.91034650186991e+001,3.16979000000000e-010,0.00000000000000e+000
3.98107170553498e+002,1.70759865594244e+002,-9.79597495764494e+001,3.16979000000000e-010,0.00000000000000e+000
5.01187233627273e+002,1.52187695217498e+002,-1.05724071864750e+002,3.16979000000000e-010,0.00000000000000e+000
6.30957344480194e+002,1.30038434685797e+002,-1.10401793206874e+002,3.16979000000000e-010,0.00000000000000e+000
7.94328234724283e+002,1.06036466112220e+002,-1.10402260973810e+002,3.16979000000000e-010,0.00000000000000e+000
1.00000000000000e+003,8.25905197984864e+001,-1.05260568262766e+002,3.16979000000000e-010,0.00000000000000e+000
1.25892541179417e+003,6.19095588060481e+001,-9.58477118322415e+001,3.16979000000000e-010,0.00000000000000e+000
1.58489319246112e+003,4.52632661483278e+001,-8.38752359982041e+001,3.16979000000000e-010,0.00000000000000e+000
1.99526231496888e+003,3.28448578679078e+001,-7.11255133938805e+001,3.16979000000000e-010,0.00000000000000e+000
2.51188643150959e+003,2.41159375176425e+001,-5.89323716053576e+001,3.16979000000000e-010,0.00000000000000e+000
3.16227766016839e+003,1.82485354812684e+001,-4.80525988978508e+001,3.16979000000000e-010,0.00000000000000e+000
3.98107170553498e+003,1.44285677606556e+001,-3.87750218350656e+001,3.16979000000000e-010,0.00000000000000e+000
5.01187233627273e+003,1.19930725329776e+001,-3.10920463760098e+001,3.16979000000000e-010,0.00000000000000e+000
6.30957344480195e+003,1.04583728981952e+001,-2.48453115862055e+001,3.16979000000000e-010,0.00000000000000e+000
7.94328234724283e+003,9.49601999739678e+000,-1.98226422374555e+001,3.16979000000000e-010,0.00000000000000e+000
1.00000000000000e+004,8.89292106305966e+000,-1.58115202864739e+001,3.16979000000000e-010,0.00000000000000e+000
