Step,Information:,X=5.02377p,Run:,3/20
1.00000000000000e-001,5.35665364677845e+003,-5.90215979458464e+002,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e-001,5.31778141229278e+003,-7.37411976836653e+002,5.02377000000000e-012,0.00000000000000e+000
1.58489319246111e-001,5.25736454234741e+003,-9.17338582705672e+002,5.02377000000000e-012,0.00000000000000e+000
1.99526231496888e-001,5.16449107385780e+003,-1.13355761746631e+003,5.02377000000000e-012,0.00000000000000e+000
2.51188643150958e-001,5.02411575949286e+003,-1.38652813995878e+003,5.02377000000000e-012,0.00000000000000e+000
3.16227766016838e-001,4.81726767984642e+003,-1.67033766420649e+003,5.02377000000000e-012,0.00000000000000e+000
3.98107170553497e-001,4.52360877836037e+003,-1.96843121109167e+003,5.02377000000000e-012,0.00000000000000e+000
5.01187233627272e-001,4.12800975934155e+003,-2.25017407423618e+003,5.02377000000000e-012,0.00000000000000e+000
6.30957344480193e-001,3.63113004592305e+003,-2.47238440429394e+003,5.02377000000000e-012,0.00000000000000e+000
7.94328234724282e-001,3.05915761291641e+003,-2.59023675942154e+003,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+000,2.46324869197309e+003,-2.57584670664319e+003,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+000,1.90356368693434e+003,-2.43277545525452e+003,5.02377000000000e-012,0.00000000000000e+000
1.58489319246111e+000,1.42683090780434e+003,-2.19406465232395e+003,5.02377000000000e-012,0.00000000000000e+000
1.99526231496888e+000,1.05340265385655e+003,-1.90559725338881e+003,5.02377000000000e-012,0.00000000000000e+000
2.51188643150958e+000,7.79640897072933e+002,-1.60845963361462e+003,5.02377000000000e-012,0.00000000000000e+000
3.16227766016838e+000,5.88538989291686e+002,-1.33019607858617e+003,5.02377000000000e-012,0.00000000000000e+000
3.98107170553498e+000,4.59655261962619e+002,-1.08475344699570e+003,5.02377000000000e-012,0.00000000000000e+000
5.01187233627273e+000,3.74739961401671e+002,-8.76363390229713e+002,5.02377000000000e-012,0.00000000000000e+000
6.30957344480194e+000,3.19651202446345e+002,-7.03683787969534e+002,5.02377000000000e-012,0.00000000000000e+000
7.94328234724282e+000,2.84269852192228e+002,-5.62791329649815e+002,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+001,2.61692320684162e+002,-4.48955715595258e+002,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+001,2.47344611455730e+002,-3.57547562831378e+002,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+001,2.38250847906581e+002,-2.84431184200562e+002,5.02377000000000e-012,0.00000000000000e+000
1.99526231496888e+001,2.32496826280279e+002,-2.26084323593834e+002,5.02377000000000e-012,0.00000000000000e+000
2.51188643150958e+001,2.28860045016993e+002,-1.79587415752845e+002,5.02377000000000e-012,0.00000000000000e+000
3.16227766016838e+001,2.26563299995409e+002,-1.42558825133288e+002,5.02377000000000e-012,0.00000000000000e+000
3.98107170553498e+001,2.25113949441237e+002,-1.13074153378911e+002,5.02377000000000e-012,0.00000000000000e+000
5.01187233627273e+001,2.24200390945496e+002,-8.95870981627505e+001,5.02377000000000e-012,0.00000000000000e+000
6.30957344480194e+001,2.23625926456875e+002,-7.08588762186630e+001,5.02377000000000e-012,0.00000000000000e+000
7.94328234724283e+001,2.23266753348474e+002,-5.58981803639241e+001,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+002,2.23045419487915e+002,-4.39113789312981e+001,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+002,2.22914173861653e+002,-3.42617784025575e+001,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+002,2.22844681359265e+002,-2.64365337494518e+001,5.02377000000000e-012,0.00000000000000e+000
1.99526231496888e+002,2.22821901536254e+002,-2.00198478994124e+001,5.02377000000000e-012,0.00000000000000e+000
2.51188643150958e+002,2.22840805883524e+002,-1.46712839864693e+001,5.02377000000000e-012,0.00000000000000e+000
3.16227766016839e+002,2.22905192398464e+002,-1.01082545133155e+001,5.02377000000000e-012,0.00000000000000e+000
3.98107170553498e+002,2.23028254955692e+002,-6.09204149020064e+000,5.02377000000000e-012,0.00000000000000e+000
5.01187233627273e+002,2.23234816234402e+002,-2.41707040589421e+000,5.02377000000000e-012,0.00000000000000e+000
6.30957344480194e+002,2.23565200687636e+002,1.09633835555060e+000,5.02377000000000e-012,0.00000000000000e+000
7.94328234724283e+002,2.24080436806807e+002,4.60485447719984e+000,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+003,2.24867468615629e+002,8.23909068783066e+000,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+003,2.26040830003078e+002,1.20930382341194e+001,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+003,2.27733840347582e+002,1.62068386991766e+001,5.02377000000000e-012,0.00000000000000e+000
1.99526231496888e+003,2.30070434164910e+002,2.05513396512013e+001,5.02377000000000e-012,0.00000000000000e+000
2.51188643150959e+003,2.33115960423989e+002,2.50352638376737e+001,5.02377000000000e-012,0.00000000000000e+000
3.16227766016839e+003,2.36829886322756e+002,2.95602088149836e+001,5.02377000000000e-012,0.00000000000000e+000
3.98107170553498e+003,2.41072251081377e+002,3.41203882826320e+001,5.02377000000000e-012,0.00000000000000e+000
5.01187233627273e+003,2.45702192007054e+002,3.88863080186163e+001,5.02377000000000e-012,0.00000000000000e+000
6.30957344480195e+003,2.50732739608870e+002,4.41922242790118e+001,5.02377000000000e-012,0.00000000000000e+000
7.94328234724283e+003,2.56451275492438e+002,5.04124452115694e+001,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+004,2.63450458791722e+002,5.77824445285527e+001,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+004,2.72573247145212e+002,6.62127653642762e+001,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+004,2.84769241063142e+002,7.51063167560907e+001,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+004,3.00816084167826e+002,8.32157446675287e+001,5.02377000000000e-012,0.00000000000000e+000
2.51188643150959e+004,3.20884209853192e+002,8.86751741262777e+001,5.02377000000000e-012,0.00000000000000e+000
3.16227766016839e+004,3.44094795206146e+002,8.93921844713452e+001,5.02377000000000e-012,0.00000000000000e+000
3.98107170553498e+004,3.68438069878828e+002,8.37930364440297e+001,5.02377000000000e-012,0.00000000000000e+000
5.01187233627274e+004,3.91326246986361e+002,7.14967156632620e+001,5.02377000000000e-012,0.00000000000000e+000
6.30957344480195e+004,4.10508785049313e+002,5.33616220441710e+001,5.02377000000000e-012,0.00000000000000e+000
7.94328234724284e+004,4.24680539102146e+002,3.08645148930026e+001,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+005,4.33432631192471e+002,5.34717692184952e+000,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+005,4.36773763549578e+002,-2.23810461348236e+001,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+005,4.34616263823614e+002,-5.20081092235845e+001,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+005,4.26440989421108e+002,-8.34057211080053e+001,5.02377000000000e-012,0.00000000000000e+000
2.51188643150959e+005,4.11197951376668e+002,-1.16174808011951e+002,5.02377000000000e-012,0.00000000000000e+000
3.16227766016839e+005,3.87492639189698e+002,-1.49134373548551e+002,5.02377000000000e-012,0.00000000000000e+000
3.98107170553499e+005,3.54153878784617e+002,-1.79902763848059e+002,5.02377000000000e-012,0.00000000000000e+000
5.01187233627274e+005,3.11188627696125e+002,-2.04904480968516e+002,5.02377000000000e-012,0.00000000000000e+000
6.30957344480196e+005,2.60747659058014e+002,-2.20207548087240e+002,5.02377000000000e-012,0.00000000000000e+000
7.94328234724285e+005,2.07274578100236e+002,-2.23141905468002e+002,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+006,1.56256900782783e+002,-2.13738227153422e+002,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+006,1.12206917530318e+002,-1.94783559295137e+002,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+006,7.73219008747786e+001,-1.70443424568009e+002,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+006,5.15345619687831e+001,-1.44614911014126e+002,5.02377000000000e-012,0.00000000000000e+000
2.51188643150959e+006,3.34261807865834e+001,-1.20015107182676e+002,5.02377000000000e-012,0.00000000000000e+000
3.16227766016839e+006,2.11634511314770e+001,-9.80945622757550e+001,5.02377000000000e-012,0.00000000000000e+000
3.98107170553499e+006,1.30620714473632e+001,-7.93650812139086e+001,5.02377000000000e-012,0.00000000000000e+000
5.01187233627275e+006,7.79695513379210e+000,-6.37829788525699e+001,5.02377000000000e-012,0.00000000000000e+000
6.30957344480196e+006,4.41155610500088e+000,-5.10363828105636e+001,5.02377000000000e-012,0.00000000000000e+000
7.94328234724285e+006,2.24980809970586e+000,-4.07197013828014e+001,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+007,8.75625432295185e-001,-3.24249870010314e+001,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+007,4.75480509319111e-003,-2.57828810333312e+001,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+007,-5.45795394364437e-001,-2.04764015037778e+001,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+007,-8.92838235910949e-001,-1.62415074108983e+001,5.02377000000000e-012,0.00000000000000e+000
2.51188643150959e+007,-1.11042037734691e+000,-1.28620059243863e+001,5.02377000000000e-012,0.00000000000000e+000
3.16227766016839e+007,-1.24505666916898e+000,-1.01626285367230e+001,5.02377000000000e-012,0.00000000000000e+000
3.98107170553499e+007,-1.32544631371340e+000,-8.00208848283337e+000,5.02377000000000e-012,0.00000000000000e+000
5.01187233627275e+007,-1.36854801176293e+000,-6.26691662179918e+000,5.02377000000000e-012,0.00000000000000e+000
6.30957344480196e+007,-1.38331469720921e+000,-4.86638371042146e+000,5.02377000000000e-012,0.00000000000000e+000
7.94328234724286e+007,-1.37300310401784e+000,-3.72857989057520e+000,5.02377000000000e-012,0.00000000000000e+000
1.00000000000001e+008,-1.33673350950366e+000,-2.79761480857215e+000,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+008,-1.27089910443042e+000,-2.03184317272297e+000,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+008,-1.17110355121131e+000,-1.40280400315606e+000,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+008,-1.03520525220876e+000,-8.93959604812044e-001,5.02377000000000e-012,0.00000000000000e+000
2.51188643150959e+008,-8.67109525820391e-001,-4.97648241176369e-001,5.02377000000000e-012,0.00000000000000e+000
3.16227766016840e+008,-6.79124019732489e-001,-2.09216365334366e-001,5.02377000000000e-012,0.00000000000000e+000
3.98107170553499e+008,-4.89944789792041e-001,-2.00742251373414e-002,5.02377000000000e-012,0.00000000000000e+000
5.01187233627275e+008,-3.18234806922428e-001,8.59182209557617e-002,5.02377000000000e-012,0.00000000000000e+000
6.30957344480197e+008,-1.76179021488816e-001,1.30184743618899e-001,5.02377000000000e-012,0.00000000000000e+000
7.94328234724286e+008,-6.74369726945112e-002,1.33887767225530e-001,5.02377000000000e-012,0.00000000000000e+000
1.00000000000001e+009,1.05274064501079e-002,1.13660694688368e-001,5.02377000000000e-012,0.00000000000000e+000
1.25892541179417e+009,6.27800085949786e-002,8.05241638804217e-002,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+009,9.42733268003847e-002,4.10117691455130e-002,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+009,1.08705519037042e-001,-1.08437246868763e-003,5.02377000000000e-012,0.00000000000000e+000
2.51188643150960e+009,1.08398856759159e-001,-4.32007007741013e-002,5.02377000000000e-012,0.00000000000000e+000
3.16227766016840e+009,9.47464503802281e-002,-8.29051435457557e-002,5.02377000000000e-012,0.00000000000000e+000
3.98107170553500e+009,6.90540293486583e-002,-1.17285241544735e-001,5.02377000000000e-012,0.00000000000000e+000
5.01187233627275e+009,3.35705705079042e-002,-1.43056246273041e-001,5.02377000000000e-012,0.00000000000000e+000
6.30957344480197e+009,-7.86267222922949e-003,-1.57524916074786e-001,5.02377000000000e-012,0.00000000000000e+000
7.94328234724287e+009,-5.02394464725655e-002,-1.59900051978258e-001,5.02377000000000e-012,0.00000000000000e+000
1.00000000000001e+010,-8.88522326017334e-002,-1.51861486669688e-001,5.02377000000000e-012,0.00000000000000e+000
1.25892541179418e+010,-1.20727824995114e-001,-1.36809808213744e-001,5.02377000000000e-012,0.00000000000000e+000
1.58489319246112e+010,-1.45029683471858e-001,-1.18433525169780e-001,5.02377000000000e-012,0.00000000000000e+000
1.99526231496889e+010,-1.62474928533126e-001,-9.96286711387612e-002,5.02377000000000e-012,0.00000000000000e+000
2.51188643150960e+010,-1.74468818665040e-001,-8.21666224771744e-002,5.02377000000000e-012,0.00000000000000e+000
3.16227766016840e+010,-1.82473229705953e-001,-6.68715207294509e-002,5.02377000000000e-012,0.00000000000000e+000
3.98107170553500e+010,-1.87710010062846e-001,-5.39512054889726e-002,5.02377000000000e-012,0.00000000000000e+000
5.01187233627276e+010,-1.91091760056874e-001,-4.32822565724572e-002,5.02377000000000e-012,0.00000000000000e+000
6.30957344480198e+010,-1.93257272591384e-001,-3.45976166102536e-002,5.02377000000000e-012,0.00000000000000e+000
7.94328234724287e+010,-1.94636499230403e-001,-2.75917836962206e-002,5.02377000000000e-012,0.00000000000000e+000
1.00000000000000e+011,-1.95511919675209e-001,-2.19723473419030e-002,5.02377000000000e-012,0.00000000000000e+000
