Step,Information:,X=7.96214n,Run:,19/20
1.00000000000000e-001,5.35291793076093e+003,-6.15557542472313e+002,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e-001,5.31192576955650e+003,-7.68937367551689e+002,7.96214000000000e-009,0.00000000000000e+000
1.58489319246111e-001,5.24824326232092e+003,-9.56292964299738e+002,7.96214000000000e-009,0.00000000000000e+000
1.99526231496888e-001,5.15041915795477e+003,-1.18119443379994e+003,7.96214000000000e-009,0.00000000000000e+000
2.51188643150958e-001,5.00272035955935e+003,-1.44387462480065e+003,7.96214000000000e-009,0.00000000000000e+000
3.16227766016838e-001,4.78542945197211e+003,-1.73779188900864e+003,7.96214000000000e-009,0.00000000000000e+000
3.98107170553497e-001,4.47765622652430e+003,-2.04520765526722e+003,7.96214000000000e-009,0.00000000000000e+000
5.01187233627272e-001,4.06435701680411e+003,-2.33378571385455e+003,7.96214000000000e-009,0.00000000000000e+000
6.30957344480193e-001,3.54736992830709e+003,-2.55858030070438e+003,7.96214000000000e-009,0.00000000000000e+000
7.94328234724282e-001,2.95515881351469e+003,-2.67381334154413e+003,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+000,2.34144495406502e+003,-2.65218202363476e+003,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+000,1.76805339597361e+003,-2.49916856097234e+003,7.96214000000000e-009,0.00000000000000e+000
1.58489319246111e+000,1.28191462670950e+003,-2.25003165500099e+003,7.96214000000000e-009,0.00000000000000e+000
1.99526231496888e+000,9.02533456009763e+002,-1.95222675904029e+003,7.96214000000000e-009,0.00000000000000e+000
2.51188643150958e+000,6.25133161538431e+002,-1.64754557267392e+003,7.96214000000000e-009,0.00000000000000e+000
3.16227766016838e+000,4.31751728722856e+002,-1.36364527226117e+003,7.96214000000000e-009,0.00000000000000e+000
3.98107170553498e+000,3.01283414849436e+002,-1.11432640095522e+003,7.96214000000000e-009,0.00000000000000e+000
5.01187233627273e+000,2.15034880268709e+002,-9.03614542856171e+002,7.96214000000000e-009,0.00000000000000e+000
6.30957344480194e+000,1.58539753955605e+002,-7.29975496907480e+002,7.96214000000000e-009,0.00000000000000e+000
7.94328234724282e+000,1.21396198989175e+002,-5.89309024536741e+002,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+001,9.64170356353578e+001,-4.76686288827276e+002,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+001,7.87418189880865e+001,-3.87200606560851e+002,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+001,6.51570616515839e+001,-3.16303746348932e+002,7.96214000000000e-009,0.00000000000000e+000
1.99526231496888e+001,5.36702102266876e+001,-2.59913491514994e+002,7.96214000000000e-009,0.00000000000000e+000
2.51188643150958e+001,4.32682854631953e+001,-2.14493693759448e+002,7.96214000000000e-009,0.00000000000000e+000
3.16227766016838e+001,3.37123610440605e+001,-1.77194142692294e+002,7.96214000000000e-009,0.00000000000000e+000
3.98107170553498e+001,2.52347497091738e+001,-1.45978487959384e+002,7.96214000000000e-009,0.00000000000000e+000
5.01187233627273e+001,1.81645169282905e+001,-1.19587341180377e+002,7.96214000000000e-009,0.00000000000000e+000
6.30957344480194e+001,1.26523256552623e+001,-9.73032406534439e+001,7.96214000000000e-009,0.00000000000000e+000
7.94328234724283e+001,8.60487825178918e+000,-7.86606142388709e+001,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+002,5.77035784966881e+000,-6.32516895788063e+001,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+002,3.85280687496393e+000,-5.06584206526234e+001,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+002,2.58639995137162e+000,-4.04583356738222e+001,7.96214000000000e-009,0.00000000000000e+000
1.99526231496888e+002,1.76342038613792e+000,-3.22504647799328e+001,7.96214000000000e-009,0.00000000000000e+000
2.51188643150958e+002,1.23424350319680e+000,-2.56753983460224e+001,7.96214000000000e-009,0.00000000000000e+000
3.16227766016839e+002,8.96309711824894e-001,-2.04241277004399e+001,7.96214000000000e-009,0.00000000000000e+000
3.98107170553498e+002,6.81453567464384e-001,-1.62383548122273e+001,7.96214000000000e-009,0.00000000000000e+000
5.01187233627273e+002,5.45235046670548e-001,-1.29061131620460e+001,7.96214000000000e-009,0.00000000000000e+000
6.30957344480194e+002,4.59031074317402e-001,-1.02555103576471e+001,7.96214000000000e-009,0.00000000000000e+000
7.94328234724283e+002,4.04546693667504e-001,-8.14820546286970e+000,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+003,3.70145183168195e-001,-6.47339665280379e+000,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+003,3.48447935962234e-001,-5.14261158470624e+000,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+003,3.34785323408943e-001,-4.08534626942173e+000,7.96214000000000e-009,0.00000000000000e+000
1.99526231496888e+003,3.26204421172705e-001,-3.24548702941501e+000,7.96214000000000e-009,0.00000000000000e+000
2.51188643150959e+003,3.20836319103197e-001,-2.57840969248958e+000,7.96214000000000e-009,0.00000000000000e+000
3.16227766016839e+003,3.17494783313402e-001,-2.04864453056861e+000,7.96214000000000e-009,0.00000000000000e+000
3.98107170553498e+003,3.15424236943484e-001,-1.62800583984515e+000,7.96214000000000e-009,0.00000000000000e+000
5.01187233627273e+003,3.14143345335789e-001,-1.29410043646950e+000,7.96214000000000e-009,0.00000000000000e+000
6.30957344480195e+003,3.13347401598103e-001,-1.02914271066646e+000,7.96214000000000e-009,0.00000000000000e+000
7.94328234724283e+003,3.12845273639980e-001,-8.19014248960842e-001,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+004,3.12517209491038e-001,-6.52516543387772e-001,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+004,3.12286465954599e-001,-5.20776507856945e-001,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+004,3.12100414208506e-001,-4.16773995382950e-001,7.96214000000000e-009,0.00000000000000e+000
1.99526231496889e+004,3.11917658332177e-001,-3.34967184227656e-001,7.96214000000000e-009,0.00000000000000e+000
2.51188643150959e+004,3.11698297801411e-001,-2.70996405211309e-001,7.96214000000000e-009,0.00000000000000e+000
3.16227766016839e+004,3.11394995696151e-001,-2.21450629529128e-001,7.96214000000000e-009,0.00000000000000e+000
3.98107170553498e+004,3.10942796141845e-001,-1.83683754226188e-001,7.96214000000000e-009,0.00000000000000e+000
5.01187233627274e+004,3.10245570631682e-001,-1.55669996476335e-001,7.96214000000000e-009,0.00000000000000e+000
6.30957344480195e+004,3.09156593946517e-001,-1.35888985555821e-001,7.96214000000000e-009,0.00000000000000e+000
7.94328234724284e+004,3.07450217799469e-001,-1.23231231892861e-001,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+005,3.04781382027096e-001,-1.16913056899321e-001,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+005,3.00630971609773e-001,-1.16386120160523e-001,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+005,2.94240532195980e-001,-1.21220090459864e-001,7.96214000000000e-009,0.00000000000000e+000
1.99526231496889e+005,2.84554819798240e-001,-1.30929836865977e-001,7.96214000000000e-009,0.00000000000000e+000
2.51188643150959e+005,2.70221923236061e-001,-1.44720137169539e-001,7.96214000000000e-009,0.00000000000000e+000
3.16227766016839e+005,2.49747738106212e-001,-1.61155503207933e-001,7.96214000000000e-009,0.00000000000000e+000
3.98107170553499e+005,2.21929353476111e-001,-1.77866463009719e-001,7.96214000000000e-009,0.00000000000000e+000
5.01187233627274e+005,1.86597815744973e-001,-1.91571394430106e-001,7.96214000000000e-009,0.00000000000000e+000
6.30957344480196e+005,1.45377388047716e-001,-1.98754540867888e-001,7.96214000000000e-009,0.00000000000000e+000
7.94328234724285e+005,1.01793369598250e-001,-1.96972107143251e-001,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+006,6.02522028838496e-002,-1.86016089643587e-001,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+006,2.43949892283886e-002,-1.67959550189803e-001,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+006,-4.00139338976404e-003,-1.46036003025794e-001,7.96214000000000e-009,0.00000000000000e+000
1.99526231496889e+006,-2.49934464264080e-002,-1.23294945616087e-001,7.96214000000000e-009,0.00000000000000e+000
2.51188643150959e+006,-3.97347359367053e-002,-1.01852135972786e-001,7.96214000000000e-009,0.00000000000000e+000
3.16227766016839e+006,-4.97161185067917e-002,-8.28113704740922e-002,7.96214000000000e-009,0.00000000000000e+000
3.98107170553499e+006,-5.63074277209844e-002,-6.65253187430261e-002,7.96214000000000e-009,0.00000000000000e+000
5.01187233627275e+006,-6.05860215559382e-002,-5.29032001468201e-002,7.96214000000000e-009,0.00000000000000e+000
6.30957344480196e+006,-6.33287025121888e-002,-4.16414097535869e-002,7.96214000000000e-009,0.00000000000000e+000
7.94328234724285e+006,-6.50665705283428e-002,-3.23628426923416e-002,7.96214000000000e-009,0.00000000000000e+000
1.00000000000000e+007,-6.61498280492486e-002,-2.46888239390309e-002,7.96214000000000e-009,0.00000000000000e+000
1.25892541179417e+007,-6.68021713403857e-002,-1.82700924038040e-002,7.96214000000000e-009,0.00000000000000e+000
1.58489319246112e+007,-6.71602521633836e-002,-1.27957037436899e-002,7.96214000000000e-009,0.00000000000000e+000
1.99526231496889e+007,-6.72995250510625e-002,-7.99122322793100e-003,7.96214000000000e-009,0.00000000000000e+000
2.51188643150959e+007,-6.72490116688050e-002,-3.61258682958168e-003,7.96214000000000e-009,0.00000000000000e+000
3.16227766016839e+007,-6.69970231721077e-002,5.60641696925859e-004,7.96214000000000e-009,0.00000000000000e+000
3.98107170553499e+007,-6.64890654426007e-002,4.72977765891675e-003,7.96214000000000e-009,0.00000000000000e+000
5.01187233627275e+007,-6.56187827591302e-002,9.07604751229322e-003,7.96214000000000e-009,0.00000000000000e+000
