Freq.,Vvout/Vvin
Step,Information:,X=1p,Run:,1/21
1.00000000000000e+000,6.40231313789080e+000,5.87250407889147e+001
1.25892541179417e+000,8.01387816212421e+000,6.32026994524588e+001
1.58489319246111e+000,9.74479757215127e+000,6.67496737828478e+001
1.99526231496888e+000,1.15580988299789e+001,6.93393322150750e+001
2.51188643150958e+000,1.34232245218224e+001,7.09855724406541e+001
3.16227766016838e+000,1.53154691233123e+001,7.17119568603929e+001
3.98107170553497e+000,1.72137975023648e+001,7.15324487399060e+001
5.01187233627272e+000,1.90980578602994e+001,7.04433035856566e+001
6.30957344480194e+000,2.09460894357041e+001,6.84250043656573e+001
7.94328234724282e+000,2.27310916465793e+001,6.54545600652523e+001
1.00000000000000e+001,2.44199207073933e+001,6.15294238933839e+001
1.25892541179417e+001,2.59735692762510e+001,5.67020085105650e+001
1.58489319246111e+001,2.73513903150250e+001,5.11158196195102e+001
1.99526231496888e+001,2.85195160666569e+001,4.50227693131497e+001
2.51188643150958e+001,2.94608141456358e+001,3.87587954575498e+001
3.16227766016838e+001,3.01808244015360e+001,3.26760075237495e+001
3.98107170553498e+001,3.07055460183600e+001,2.70634804762694e+001
5.01187233627273e+001,3.10725952655417e+001,2.20987719710186e+001
6.30957344480194e+001,3.13212605061568e+001,1.78458064351772e+001
7.94328234724283e+001,3.14858134163039e+001,1.42836438915069e+001
1.00000000000000e+002,3.15929249618850e+001,1.13423716065771e+001
1.25892541179417e+002,3.16618598193112e+001,8.93169937230624e+000
1.58489319246112e+002,3.17058694069937e+001,6.95873822267732e+000
1.99526231496888e+002,3.17337798268857e+001,5.33697012880740e+000
2.51188643150958e+002,3.17513408311383e+001,3.98958131352392e+000
3.16227766016838e+002,3.17622318332177e+001,2.84969121007021e+000
3.98107170553498e+002,3.17687588435529e+001,1.85907205597782e+000
5.01187233627273e+002,3.17723124389457e+001,9.66232788079267e-001
6.30957344480194e+002,3.17736515735354e+001,1.24290631606228e-001
7.94328234724283e+002,3.17730602457930e+001,-7.11197662867992e-001
1.00000000000000e+003,3.17704047463832e+001,-1.58440101455514e+000
1.25892541179417e+003,3.17651011117670e+001,-2.54138494952215e+000
1.58489319246112e+003,3.17559851850276e+001,-3.63229743597127e+000
1.99526231496888e+003,3.17410608691995e+001,-4.91352585688114e+000
2.51188643150959e+003,3.17170865406428e+001,-6.44966510994050e+000
3.16227766016839e+003,3.16789465514242e+001,-8.31494076668175e+000
3.98107170553498e+003,3.16187459963913e+001,-1.05934046418983e+001
5.01187233627273e+003,3.15245774433033e+001,-1.33766321903837e+001
6.30957344480195e+003,3.13789956373465e+001,-1.67567096946950e+001
7.94328234724283e+003,3.11575031236497e+001,-2.08113698780980e+001
1.00000000000000e+004,3.08278709113906e+001,-2.55785268648996e+001
1.25892541179417e+004,3.03517561533033e+001,-3.10215546735399e+001
1.58489319246112e+004,2.96901772804376e+001,-3.69963205935051e+001
1.99526231496889e+004,2.88128305424441e+001,-4.32421595613384e+001
2.51188643150959e+004,2.77078419239133e+001,-4.94172399352379e+001
3.16227766016839e+004,2.63862619654134e+001,-5.51727332974950e+001
3.98107170553498e+004,2.48782107903151e+001,-6.02282784515646e+001
5.01187233627274e+004,2.32234481245775e+001,-6.44099102753570e+001
6.30957344480195e+004,2.14620920804759e+001,-6.76425801327847e+001
7.94328234724284e+004,1.96291639920872e+001,-6.99168231599314e+001
1.00000000000000e+005,1.77532098817048e+001,-7.12523979788874e+001
1.25892541179417e+005,1.58575536544783e+001,-7.16710894798411e+001
1.58489319246112e+005,1.39627707389183e+001,-7.11813333781768e+001
1.99526231496889e+005,1.20895632509085e+001,-6.97736281931666e+001
2.51188643150959e+005,1.02616198947668e+001,-6.74260330349236e+001
3.16227766016839e+005,8.50802449204918e+000,-6.41205676792041e+001
3.98107170553499e+005,6.86434408446058e+000,-5.98714320479668e+001
5.01187233627274e+005,5.37094446088641e+000,-5.47617905220483e+001
6.30957344480196e+005,4.06715142579764e+000,-4.89759018458782e+001
7.94328234724285e+005,2.98175806826349e+000,-4.28032404185856e+001
1.00000000000000e+006,2.12385404275928e+000,-3.65965112355956e+001
1.25892541179417e+006,1.47966581242677e+000,-3.06945351031538e+001
1.58489319246112e+006,1.01770537645925e+000,-2.53503544182718e+001
1.99526231496889e+006,6.98705584498033e-001,-2.07000880171608e+001
2.51188643150959e+006,4.84689638951182e-001,-1.67751224364961e+001
3.16227766016839e+006,3.44084712186786e-001,-1.35361231206007e+001
3.98107170553499e+006,2.53086089209135e-001,-1.09074395455260e+001
5.01187233627275e+006,1.94866864690723e-001,-8.80194756637809e+000
6.30957344480196e+006,1.58039001598443e-001,-7.13552260302938e+000
7.94328234724285e+006,1.35137937109287e-001,-5.83395534972775e+000
1.00000000000000e+007,1.21417729576749e-001,-4.83536727304735e+000
Step,Information:,X=1.58489p,Run:,2/21
1.00000000000000e+000,6.40231314226073e+000,5.87250407505299e+001
1.25892541179417e+000,8.01387816904100e+000,6.32026994031329e+001
1.58489319246111e+000,9.74479758309094e+000,6.67496737187575e+001
1.99526231496888e+000,1.15580988472604e+001,6.93393321304353e+001
2.51188643150958e+000,1.34232245490708e+001,7.09855723262744e+001
3.16227766016838e+000,1.53154691661485e+001,7.17119567009912e+001
3.98107170553497e+000,1.72137975693956e+001,7.15324485091263e+001
5.01187233627272e+000,1.90980579644453e+001,7.04433032369807e+001
6.30957344480194e+000,2.09460895957713e+001,6.84250038164093e+001
7.94328234724282e+000,2.27310918886622e+001,6.54545591701320e+001
