Step,Information:,X=502.377p,Run:,13/20
1.00000000000000e-001,7.46301965265008e+001,-6.30471464930518e+000,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e-001,7.45971979107314e+001,-7.91618501478847e+000,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246111e-001,7.45454085862708e+001,-9.92451405885752e+000,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496888e-001,7.44645767523764e+001,-1.24131791537529e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150958e-001,7.43394815119164e+001,-1.54701240166989e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016838e-001,7.41483417337554e+001,-1.91756974199586e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553497e-001,7.38617082927575e+001,-2.35807715091721e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627272e-001,7.34430795984421e+001,-2.86743681837694e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480193e-001,7.28528899502795e+001,-3.43477230167200e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724282e-001,7.20566717203948e+001,-4.03734665437515e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+000,7.10353040593253e+001,-4.64235655722916e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+000,6.97920656022212e+001,-5.21322161133911e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246111e+000,6.83518543461661e+001,-5.71758145219101e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496888e+000,6.67532758987216e+001,-6.13268922554536e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150958e+000,6.50389212276030e+001,-6.44614906967570e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016838e+000,6.32486774877675e+001,-6.65324757691917e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553498e+000,6.14174701317221e+001,-6.75334941430269e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627273e+000,5.95763497905402e+001,-6.74709474841281e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480194e+000,5.77552890874170e+001,-6.63508347159752e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724282e+000,5.59863595013547e+001,-6.41818764728736e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+001,5.43061043150315e+001,-6.09947471896193e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+001,5.27556535084445e+001,-5.68748003479966e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+001,5.13769651817239e+001,-5.19982928658614e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496888e+001,5.02047105714919e+001,-4.66511304232008e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150958e+001,4.92564117045253e+001,-4.12067278083565e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016838e+001,4.85263744370760e+001,-3.60604074120101e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553498e+001,4.79876211777359e+001,-3.15518209073526e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627273e+001,4.76003917386319e+001,-2.79175504452378e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480194e+001,4.73216694604549e+001,-2.52899876961004e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724283e+001,4.71112532314961e+001,-2.37269607420648e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+002,4.69333983565262e+001,-2.32473871377920e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+002,4.67553011588304e+001,-2.38566816035925e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+002,4.65441241656016e+001,-2.55556811505636e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496888e+002,4.62640242844545e+001,-2.83318695547424e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150958e+002,4.58746475633591e+001,-3.21341578218964e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016839e+002,4.53327862374935e+001,-3.68375397773451e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553498e+002,4.45984571935628e+001,-4.22140057446068e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627273e+002,4.36443871396757e+001,-4.79344453315303e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480194e+002,4.24643880718553e+001,-5.36168128405241e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724283e+002,4.10750885974963e+001,-5.89040313228801e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+003,3.95096462287008e+001,-6.35292649530199e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+003,3.78076939192029e+001,-6.73372238842424e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+003,3.60070699904112e+001,-7.02643509267516e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496888e+003,3.41399082111950e+001,-7.23015406502909e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150959e+003,3.22325014717738e+001,-7.34604667791089e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016839e+003,3.03071228508708e+001,-7.37525726334474e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553498e+003,2.83842762201963e+001,-7.31799928162543e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627273e+003,2.64847793467250e+001,-7.17338151036275e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480195e+003,2.46318545899267e+001,-6.93975348672667e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724283e+003,2.28533094028232e+001,-6.61586476305575e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+004,2.11830037671954e+001,-6.20327223325794e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+004,1.96599158171080e+001,-5.70989240975862e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+004,1.83231042488329e+001,-5.15348521186575e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496889e+004,1.72026258611974e+001,-4.56273270866173e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150959e+004,1.63099381273574e+001,-3.97383120973235e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016839e+004,1.56335507782304e+001,-3.42319145243116e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553498e+004,1.51429899767326e+001,-2.94003354534291e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627274e+004,1.47982460422700e+001,-2.54274296277393e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480195e+004,1.45589851532408e+001,-2.23973358283843e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724284e+004,1.43898948677830e+001,-2.03284441601527e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+005,1.42619467051177e+001,-1.92099521279718e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+005,1.41510256211207e+001,-1.90288981336006e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+005,1.40353345381215e+001,-1.97849324902581e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496889e+005,1.38924111852527e+001,-2.14936076165208e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150959e+005,1.36962463091798e+001,-2.41785823885915e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016839e+005,1.34150963513638e+001,-2.78519210001084e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553499e+005,1.30110831305922e+001,-3.24826341705614e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627274e+005,1.24431414634272e+001,-3.79597113167237e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480196e+005,1.16742944090154e+001,-4.40670492872130e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724285e+005,1.06816355375247e+001,-5.04945071635671e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+006,9.46401593026966e+000,-5.68955184821025e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+006,8.04231127033856e+000,-6.29682009384478e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+006,6.45202448859338e+000,-6.85165979312860e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496889e+006,4.73310819528815e+000,-7.34664678563472e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150959e+006,2.92215593771410e+000,-7.78439164828446e+001,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016839e+006,1.04880989718517e+000,-8.17408023296635e+001,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553499e+006,-8.64520916051132e-001,-8.52848185782686e+001,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627275e+006,-2.80124828286159e+000,-8.86204455545507e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480196e+006,-4.74864918428037e+000,-9.18997054178967e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724285e+006,-6.69588528320982e+000,-9.52793450103224e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000000e+007,-8.63210372892093e+000,-9.89210961645153e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+007,-1.05445515507763e+001,-1.02992062613532e+002,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+007,-1.24166493455637e+001,-1.07662268390578e+002,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496889e+007,-1.42261755147493e+001,-1.13096004805117e+002,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150959e+007,-1.59441641090981e+001,-1.19433703064978e+002,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016839e+007,-1.75357800515677e+001,-1.26763679132212e+002,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553499e+007,-1.89648557830699e+001,-1.35090775667674e+002,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627275e+007,-2.02028861163201e+001,-1.44320494029694e+002,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480196e+007,-2.12403317693468e+001,-1.54281566960370e+002,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724286e+007,-2.20949169795954e+001,-1.64791687407763e+002,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000001e+008,-2.28123696435246e+001,-1.75736751098435e+002,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+008,-2.34602870338820e+001,1.72880743268826e+002,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+008,-2.41198087077175e+001,1.60943935335045e+002,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496889e+008,-2.48783848928589e+001,1.48254718131969e+002,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150959e+008,-2.58229424351824e+001,1.34549952568490e+002,-1.85979405036760e+002,0.00000000000000e+000
3.16227766016840e+008,-2.70302883830218e+001,1.19434792011756e+002,-1.85979405036760e+002,0.00000000000000e+000
3.98107170553499e+008,-2.85477588534364e+001,1.02151861846789e+002,-1.85979405036760e+002,0.00000000000000e+000
5.01187233627275e+008,-3.03330627869793e+001,8.11317380877530e+001,-1.85979405036760e+002,0.00000000000000e+000
6.30957344480197e+008,-3.20448351864344e+001,5.37590221181706e+001,-1.85979405036760e+002,0.00000000000000e+000
7.94328234724286e+008,-3.26952010795120e+001,1.93093308553827e+001,-1.85979405036760e+002,0.00000000000000e+000
1.00000000000001e+009,-3.14647786272230e+001,-1.46689876766606e+001,-1.85979405036760e+002,0.00000000000000e+000
1.25892541179417e+009,-2.91326789423405e+001,-4.06959474511833e+001,-1.85979405036760e+002,0.00000000000000e+000
1.58489319246112e+009,-2.66541229196487e+001,-5.96844109017335e+001,-1.85979405036760e+002,0.00000000000000e+000
1.99526231496889e+009,-2.43577395912756e+001,-7.45338338697345e+001,-1.85979405036760e+002,0.00000000000000e+000
2.51188643150960e+009,-2.23038781706247e+001,-8.71356816704143e+001,-1.85979405036760e+002,0.00000000000000e+000
