Step,Information:,X=50.2377p,Run:,8/20
1.00000000000000e-001,7.46302716677300e+001,-6.28924528040741e+000,-2.05979405036760e+002,0.00000000000000e+000
1.25892541179417e-001,7.45973161015340e+001,-7.89675123902636e+000,-2.05979405036760e+002,0.00000000000000e+000
1.58489319246111e-001,7.45455936890124e+001,-9.90012861858242e+000,-2.05979405036760e+002,0.00000000000000e+000
1.99526231496888e-001,7.44648647191432e+001,-1.23826349709634e+001,-2.05979405036760e+002,0.00000000000000e+000
2.51188643150958e-001,7.43399249700902e+001,-1.54319666057533e+001,-2.05979405036760e+002,0.00000000000000e+000
3.16227766016838e-001,7.41490143528583e+001,-1.91282081135260e+001,-2.05979405036760e+002,0.00000000000000e+000
3.98107170553497e-001,7.38627063428017e+001,-2.35219654173904e+001,-2.05979405036760e+002,0.00000000000000e+000
5.01187233627272e-001,7.34445162756843e+001,-2.86019965415918e+001,-2.05979405036760e+002,0.00000000000000e+000
6.30957344480193e-001,7.28548780748073e+001,-3.42592383414994e+001,-2.05979405036760e+002,0.00000000000000e+000
7.94328234724282e-001,7.20592957787736e+001,-4.02658756314660e+001,-2.05979405036760e+002,0.00000000000000e+000
1.00000000000000e+000,7.10385930280429e+001,-4.62931060491005e+001,-2.05979405036760e+002,0.00000000000000e+000
1.25892541179417e+000,6.97959836282168e+001,-5.19738757906468e+001,-2.05979405036760e+002,0.00000000000000e+000
1.58489319246111e+000,6.83563165232245e+001,-5.69828001575230e+001,-2.05979405036760e+002,0.00000000000000e+000
1.99526231496888e+000,6.67581788354219e+001,-6.10901375771359e+001,-2.05979405036760e+002,0.00000000000000e+000
2.51188643150958e+000,6.50441718043779e+001,-6.41691895854313e+001,-2.05979405036760e+002,0.00000000000000e+000
3.16227766016838e+000,6.32542112275642e+001,-6.61695491599049e+001,-2.05979405036760e+002,0.00000000000000e+000
3.98107170553498e+000,6.14232607411499e+001,-6.70808939406362e+001,-2.05979405036760e+002,0.00000000000000e+000
5.01187233627273e+000,5.95824158696710e+001,-6.69047268663886e+001,-2.05979405036760e+002,0.00000000000000e+000
6.30957344480194e+000,5.77617040704339e+001,-6.56409303296312e+001,-2.05979405036760e+002,0.00000000000000e+000
7.94328234724282e+000,5.59932701515677e+001,-6.32905451488223e+001,-2.05979405036760e+002,0.00000000000000e+000
1.00000000000000e+001,5.43137635036031e+001,-5.98745843196742e+001,-2.05979405036760e+002,0.00000000000000e+000
1.25892541179417e+001,5.27644751635355e+001,-5.54662454170656e+001,-2.05979405036760e+002,0.00000000000000e+000
1.58489319246112e+001,5.13876135514093e+001,-5.02265031099005e+001,-2.05979405036760e+002,0.00000000000000e+000
1.99526231496888e+001,5.02182429789455e+001,-4.44220782429988e+001,-2.05979405036760e+002,0.00000000000000e+000
2.51188643150958e+001,4.92745050419143e+001,-3.84023549099072e+001,-2.05979405036760e+002,0.00000000000000e+000
3.16227766016838e+001,4.85516827243474e+001,-3.25326567080793e+001,-2.05979405036760e+002,0.00000000000000e+000
3.98107170553498e+001,4.80243374116644e+001,-2.71153834730127e+001,-2.05979405036760e+002,0.00000000000000e+000
5.01187233627273e+001,4.76551254724162e+001,-2.23412447518434e+001,-2.05979405036760e+002,0.00000000000000e+000
6.30957344480194e+001,4.74048052999313e+001,-1.82869001406703e+001,-2.05979405036760e+002,0.00000000000000e+000
7.94328234724283e+001,4.72390244255517e+001,-1.49439431501294e+001,-2.05979405036760e+002,0.00000000000000e+000
1.00000000000000e+002,4.71309817378754e+001,-1.22554300128882e+001,-2.05979405036760e+002,0.00000000000000e+000
1.25892541179417e+002,4.70612725769123e+001,-1.01453353840596e+001,-2.05979405036760e+002,0.00000000000000e+000
1.58489319246112e+002,4.70165035393883e+001,-8.53729428599828e+000,-2.05979405036760e+002,0.00000000000000e+000
