Step,Information:,X=20p,Run:,6/20
1.00000000000000e-001,5.35664684085812e+003,-5.90263715792498e+002,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e-001,5.31777074219595e+003,-7.37471391079319e+002,2.00000000000000e-011,0.00000000000000e+000
1.58489319246111e-001,5.25734791676590e+003,-9.17412055054001e+002,2.00000000000000e-011,0.00000000000000e+000
1.99526231496888e-001,5.16446541312019e+003,-1.13364757548664e+003,2.00000000000000e-011,0.00000000000000e+000
2.51188643150958e-001,5.02407671760523e+003,-1.38663664014772e+003,2.00000000000000e-011,0.00000000000000e+000
3.16227766016838e-001,4.81720952402680e+003,-1.67046566526420e+003,2.00000000000000e-011,0.00000000000000e+000
3.98107170553497e-001,4.52352472214621e+003,-1.96857756294541e+003,2.00000000000000e-011,0.00000000000000e+000
5.01187233627272e-001,4.12789310348356e+003,-2.25033455446100e+003,2.00000000000000e-011,0.00000000000000e+000
6.30957344480193e-001,3.63097617147681e+003,-2.47255156116700e+003,2.00000000000000e-011,0.00000000000000e+000
7.94328234724282e-001,3.05896603335251e+003,-2.59040134826371e+003,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+000,2.46302367857794e+003,-2.57600049994884e+003,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+000,1.90331270785405e+003,-2.43291378283014e+003,2.00000000000000e-011,0.00000000000000e+000
1.58489319246111e+000,1.42656196407063e+003,-2.19418707662987e+003,2.00000000000000e-011,0.00000000000000e+000
1.99526231496888e+000,1.05312230648733e+003,-1.90570649454037e+003,2.00000000000000e-011,0.00000000000000e+000
2.51188643150958e+000,7.79353678795279e+002,-1.60856003746243e+003,2.00000000000000e-011,0.00000000000000e+000
3.16227766016838e+000,5.88247721505370e+002,-1.33029257025857e+003,2.00000000000000e-011,0.00000000000000e+000
3.98107170553498e+000,4.59361610008462e+002,-1.08485111464386e+003,2.00000000000000e-011,0.00000000000000e+000
5.01187233627273e+000,3.74444891732491e+002,-8.76467478051491e+002,2.00000000000000e-011,0.00000000000000e+000
6.30957344480194e+000,3.19355278693830e+002,-7.03799886568736e+002,2.00000000000000e-011,0.00000000000000e+000
7.94328234724282e+000,2.83973408137838e+002,-5.62925654781003e+002,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+001,2.61395557748007e+002,-4.49115440333932e+002,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+001,2.47047653721030e+002,-3.57741204158579e+002,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+001,2.37953773884781e+002,-2.84669060317441e+002,2.00000000000000e-011,0.00000000000000e+000
1.99526231496888e+001,2.32199687941485e+002,-2.26379105861221e+002,2.00000000000000e-011,0.00000000000000e+000
2.51188643150958e+001,2.28562879859978e+002,-1.79954805087724e+002,2.00000000000000e-011,0.00000000000000e+000
3.16227766016838e+001,2.26266139478239e+002,-1.43018389414116e+002,2.00000000000000e-011,0.00000000000000e+000
3.98107170553498e+001,2.24816825884765e+002,-1.13650371005742e+002,2.00000000000000e-011,0.00000000000000e+000
5.01187233627273e+001,2.23903344497371e+002,-9.03106640591984e+001,2.00000000000000e-011,0.00000000000000e+000
6.30957344480194e+001,2.23329013608077e+002,-7.17683410267483e+001,2.00000000000000e-011,0.00000000000000e+000
7.94328234724283e+001,2.22970058704567e+002,-5.70420123882897e+001,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+002,2.22749072951680e+002,-4.53505630775449e+001,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+002,2.22618375956668e+002,-3.60730993012097e+001,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+002,2.22549739700340e+002,-2.87167353137170e+001,2.00000000000000e-011,0.00000000000000e+000
1.99526231496888e+002,2.22528280162600e+002,-2.28909252218556e+001,2.00000000000000e-011,0.00000000000000e+000
2.51188643150958e+002,2.22549182746950e+002,-1.82872569599926e+001,2.00000000000000e-011,0.00000000000000e+000
3.16227766016839e+002,2.22616499269863e+002,-1.46639154113867e+001,2.00000000000000e-011,0.00000000000000e+000
3.98107170553498e+002,2.22743614220487e+002,-1.18343945135720e+001,2.00000000000000e-011,0.00000000000000e+000
5.01187233627273e+002,2.22955131021848e+002,-9.66054386653770e+000,2.00000000000000e-011,0.00000000000000e+000
6.30957344480194e+002,2.23289757719575e+002,-8.05074728947802e+000,2.00000000000000e-011,0.00000000000000e+000
7.94328234724283e+002,2.23802929940118e+002,-6.96496265440103e+000,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+003,2.24565700309783e+002,-6.42918542651346e+000,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+003,2.25651888093799e+002,-6.56128136544276e+000,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+003,2.27098562334573e+002,-7.60448939607735e+000,2.00000000000000e-011,0.00000000000000e+000
1.99526231496888e+003,2.28820402387338e+002,-9.94821791434558e+000,2.00000000000000e-011,0.00000000000000e+000
2.51188643150959e+003,2.30472373483870e+002,-1.40862148454491e+001,2.00000000000000e-011,0.00000000000000e+000
3.16227766016839e+003,2.31310823716027e+002,-2.04424397186853e+001,2.00000000000000e-011,0.00000000000000e+000
3.98107170553498e+003,2.30189548395654e+002,-2.90454448399926e+001,2.00000000000000e-011,0.00000000000000e+000
5.01187233627273e+003,2.25844376344691e+002,-3.91866531366987e+001,2.00000000000000e-011,0.00000000000000e+000
6.30957344480195e+003,2.17454520636016e+002,-4.93405323529499e+001,2.00000000000000e-011,0.00000000000000e+000
7.94328234724283e+003,2.05200181263852e+002,-5.75544540713537e+001,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+004,1.90412635801295e+002,-6.22087125018701e+001,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+004,1.75110574392508e+002,-6.27101174424967e+001,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+004,1.61176786302719e+002,-5.96417326143722e+001,2.00000000000000e-011,0.00000000000000e+000
1.99526231496889e+004,1.49734804470406e+002,-5.43119340591389e+001,2.00000000000000e-011,0.00000000000000e+000
2.51188643150959e+004,1.41049979764319e+002,-4.81175943560969e+001,2.00000000000000e-011,0.00000000000000e+000
3.16227766016839e+004,1.34808818035863e+002,-4.21354850586205e+001,2.00000000000000e-011,0.00000000000000e+000
3.98107170553498e+004,1.30460154287919e+002,-3.70276853541358e+001,2.00000000000000e-011,0.00000000000000e+000
5.01187233627274e+004,1.27439643017500e+002,-3.31281985427450e+001,2.00000000000000e-011,0.00000000000000e+000
6.30957344480195e+004,1.25262438790773e+002,-3.05716016282494e+001,2.00000000000000e-011,0.00000000000000e+000
7.94328234724284e+004,1.23532514746217e+002,-2.93960194606251e+001,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+005,1.21913543878433e+002,-2.96053129274297e+001,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+005,1.20086679299073e+002,-3.11948098233348e+001,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+005,1.17707164118447e+002,-3.41456319568402e+001,2.00000000000000e-011,0.00000000000000e+000
1.99526231496889e+005,1.14368715626173e+002,-3.83874707107519e+001,2.00000000000000e-011,0.00000000000000e+000
2.51188643150959e+005,1.09591639760500e+002,-4.37268486108762e+001,2.00000000000000e-011,0.00000000000000e+000
3.16227766016839e+005,1.02865009504048e+002,-4.97467384879877e+001,2.00000000000000e-011,0.00000000000000e+000
3.98107170553499e+005,9.37822077334065e+001,-5.57156402983781e+001,2.00000000000000e-011,0.00000000000000e+000
5.01187233627274e+005,8.22787243764695e+001,-6.05978328608753e+001,2.00000000000000e-011,0.00000000000000e+000
6.30957344480196e+005,6.88762743434882e+001,-6.32758909051416e+001,2.00000000000000e-011,0.00000000000000e+000
7.94328234724285e+005,5.47158702616000e+001,-6.29763332250207e+001,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+006,4.12252993633415e+001,-5.96481731831482e+001,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+006,2.95840558922871e+001,-5.39777733765232e+001,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+006,2.03667987702215e+001,-4.70253628427849e+001,2.00000000000000e-011,0.00000000000000e+000
1.99526231496889e+006,1.35536717014388e+001,-3.97893223502880e+001,2.00000000000000e-011,0.00000000000000e+000
2.51188643150959e+006,8.76933902075116e+000,-3.29636793644033e+001,2.00000000000000e-011,0.00000000000000e+000
3.16227766016839e+006,5.52939740193981e+000,-2.69134067571831e+001,2.00000000000000e-011,0.00000000000000e+000
3.98107170553499e+006,3.38888839341688e+000,-2.17595604484351e+001,2.00000000000000e-011,0.00000000000000e+000
5.01187233627275e+006,1.99774606106342e+000,-1.74794998007734e+001,2.00000000000000e-011,0.00000000000000e+000
6.30957344480196e+006,1.10325649216330e+000,-1.39820708386842e+001,2.00000000000000e-011,0.00000000000000e+000
7.94328234724285e+006,5.32085302078456e-001,-1.11531792828946e+001,2.00000000000000e-011,0.00000000000000e+000
1.00000000000000e+007,1.69016315904238e-001,-8.87953735786108e+000,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+007,-6.10497647653551e-002,-7.05917938632051e+000,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+007,-2.06454078206027e-001,-5.60486774303646e+000,2.00000000000000e-011,0.00000000000000e+000
1.99526231496889e+007,-2.98046355987890e-001,-4.44405478213050e+000,2.00000000000000e-011,0.00000000000000e+000
2.51188643150959e+007,-3.55366911303909e-001,-3.51738884419995e+000,2.00000000000000e-011,0.00000000000000e+000
3.16227766016839e+007,-3.90665786363274e-001,-2.77676750794457e+000,2.00000000000000e-011,0.00000000000000e+000
3.98107170553499e+007,-4.11460591926964e-001,-2.18341194347511e+000,2.00000000000000e-011,0.00000000000000e+000
5.01187233627275e+007,-4.22128617093404e-001,-1.70617063804906e+000,2.00000000000000e-011,0.00000000000000e+000
6.30957344480196e+007,-4.24877891080585e-001,-1.32013374590790e+000,2.00000000000000e-011,0.00000000000000e+000
7.94328234724286e+007,-4.20342509131916e-001,-1.00557817409710e+000,2.00000000000000e-011,0.00000000000000e+000
1.00000000000001e+008,-4.07987986734634e-001,-7.47236064101484e-001,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+008,-3.86500108135291e-001,-5.33862482598102e-001,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+008,-3.54363196293906e-001,-3.58008714582952e-001,2.00000000000000e-011,0.00000000000000e+000
1.99526231496889e+008,-3.10806891435943e-001,-2.15715298590192e-001,2.00000000000000e-011,0.00000000000000e+000
2.51188643150959e+008,-2.57007111283054e-001,-1.05622520370540e-001,2.00000000000000e-011,0.00000000000000e+000
3.16227766016840e+008,-1.96846444938839e-001,-2.71647976726826e-002,2.00000000000000e-011,0.00000000000000e+000
3.98107170553499e+008,-1.36291719685015e-001,2.16038880937068e-002,2.00000000000000e-011,0.00000000000000e+000
5.01187233627275e+008,-8.13593856031681e-002,4.51457439287072e-002,2.00000000000000e-011,0.00000000000000e+000
6.30957344480197e+008,-3.60618371938242e-002,4.97036192450251e-002,2.00000000000000e-011,0.00000000000000e+000
7.94328234724286e+008,-1.76296774701295e-003,4.15149014141427e-002,2.00000000000000e-011,0.00000000000000e+000
1.00000000000001e+009,2.20494652442867e-002,2.54469627383508e-002,2.00000000000000e-011,0.00000000000000e+000
1.25892541179417e+009,3.65593626406789e-002,4.68675991725015e-003,2.00000000000000e-011,0.00000000000000e+000
1.58489319246112e+009,4.27684766483953e-002,-1.88228058150076e-002,2.00000000000000e-011,0.00000000000000e+000
1.99526231496889e+009,4.11715336942191e-002,-4.37199455530633e-002,2.00000000000000e-011,0.00000000000000e+000
2.51188643150960e+009,3.18340559156774e-002,-6.86249967102194e-002,2.00000000000000e-011,0.00000000000000e+000
3.16227766016840e+009,1.47703489208936e-002,-9.17174672710634e-002,2.00000000000000e-011,0.00000000000000e+000
3.98107170553500e+009,-9.43929381029142e-003,-1.10643120352512e-001,2.00000000000000e-011,0.00000000000000e+000
5.01187233627275e+009,-3.90338655036963e-002,-1.22965609936703e-001,2.00000000000000e-011,0.00000000000000e+000
6.30957344480197e+009,-7.09687907104135e-002,-1.27113205156106e-001,2.00000000000000e-011,0.00000000000000e+000
7.94328234724287e+009,-1.01673808969150e-001,-1.23215827061076e-001,2.00000000000000e-011,0.00000000000000e+000
1.00000000000001e+010,-1.28270513086119e-001,-1.13094823187408e-001,2.00000000000000e-011,0.00000000000000e+000
