Step,Information:,X=10n,Run:,20/20
1.00000000000000e-001,5.35192269232103e+003,-6.22040465031194e+002,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e-001,5.31036614604161e+003,-7.76997065437375e+002,1.00000000000000e-008,0.00000000000000e+000
1.58489319246111e-001,5.24581479154543e+003,-9.66241857101376e+002,1.00000000000000e-008,0.00000000000000e+000
1.99526231496888e-001,5.14667484985497e+003,-1.19334146795474e+003,1.00000000000000e-008,0.00000000000000e+000
2.51188643150958e-001,4.99703252586075e+003,-1.45846121714722e+003,1.00000000000000e-008,0.00000000000000e+000
3.16227766016838e-001,4.77697674012898e+003,-1.75488324942676e+003,1.00000000000000e-008,0.00000000000000e+000
3.98107170553497e-001,4.46547951557877e+003,-2.06454530966315e+003,1.00000000000000e-008,0.00000000000000e+000
5.01187233627272e-001,4.04753361726353e+003,-2.35465334795537e+003,1.00000000000000e-008,0.00000000000000e+000
6.30957344480193e-001,3.52530506204073e+003,-2.57979531476073e+003,1.00000000000000e-008,0.00000000000000e+000
7.94328234724282e-001,2.92786900225017e+003,-2.69395091122433e+003,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+000,2.30961839332131e+003,-2.66998138865144e+003,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+000,1.73279790180565e+003,-2.51387204429920e+003,1.00000000000000e-008,0.00000000000000e+000
1.58489319246111e+000,1.24437163846300e+003,-2.26143970848806e+003,1.00000000000000e-008,0.00000000000000e+000
1.99526231496888e+000,8.63614976640449e+002,-1.96050990571558e+003,1.00000000000000e-008,0.00000000000000e+000
2.51188643150958e+000,5.85463165711826e+002,-1.65300753421848e+003,1.00000000000000e-008,0.00000000000000e+000
3.16227766016838e+000,3.91731267435072e+002,-1.36656415819208e+003,1.00000000000000e-008,0.00000000000000e+000
3.98107170553498e+000,2.61184032158578e+002,-1.11488470567257e+003,1.00000000000000e-008,0.00000000000000e+000
5.01187233627273e+000,1.75077732952698e+002,-9.01882144112474e+002,1.00000000000000e-008,0.00000000000000e+000
6.30957344480194e+000,1.18956924609026e+002,-7.25916292547896e+002,1.00000000000000e-008,0.00000000000000e+000
7.94328234724282e+000,8.24834546618313e+001,-5.82800272508879e+002,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+001,5.85854658998476e+001,-4.67554359614556e+002,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+001,4.25657013601397e+001,-3.75286442803436e+002,1.00000000000000e-008,0.00000000000000e+000
1.58489319246112e+001,3.13960706114993e+001,-3.01572338266925e+002,1.00000000000000e-008,0.00000000000000e+000
1.99526231496888e+001,2.32200917749984e+001,-2.42600507377081e+002,1.00000000000000e-008,0.00000000000000e+000
2.51188643150958e+001,1.69948397633823e+001,-1.95228387731808e+002,1.00000000000000e-008,0.00000000000000e+000
3.16227766016838e+001,1.21937216486227e+001,-1.56988652121191e+002,1.00000000000000e-008,0.00000000000000e+000
3.98107170553498e+001,8.54905410868619e+000,-1.26022718421027e+002,1.00000000000000e-008,0.00000000000000e+000
5.01187233627273e+001,5.87265417066337e+000,-1.00942868303104e+002,1.00000000000000e-008,0.00000000000000e+000
6.30957344480194e+001,3.97938265054806e+000,-8.06787754854901e+001,1.00000000000000e-008,0.00000000000000e+000
7.94328234724283e+001,2.68377698825350e+000,-6.43644519365531e+001,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+002,1.81979129779246e+000,-5.12772950244659e+001,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+002,1.25427174502514e+000,-4.08103968524780e+001,1.00000000000000e-008,0.00000000000000e+000
1.58489319246112e+002,8.88817316833322e-001,-3.24579342408509e+001,1.00000000000000e-008,0.00000000000000e+000
1.99526231496888e+002,6.54652867008696e-001,-2.58032795513093e+001,1.00000000000000e-008,0.00000000000000e+000
2.51188643150958e+002,5.05444048987005e-001,-2.05069650582651e+001,1.00000000000000e-008,0.00000000000000e+000
3.16227766016839e+002,4.10709182466439e-001,-1.62946849370660e+001,1.00000000000000e-008,0.00000000000000e+000
3.98107170553498e+002,3.50699164966178e-001,-1.29460873206955e+001,1.00000000000000e-008,0.00000000000000e+000
5.01187233627273e+002,3.12742480361564e-001,-1.02848638507057e+001,1.00000000000000e-008,0.00000000000000e+000
6.30957344480194e+002,2.88759029624731e-001,-8.17031468886669e+000,1.00000000000000e-008,0.00000000000000e+000
7.94328234724283e+002,2.73616893052896e-001,-6.49034697660033e+000,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+003,2.64065053476610e-001,-5.15575602216218e+000,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+003,2.58047557439148e-001,-4.09560193707232e+000,1.00000000000000e-008,0.00000000000000e+000
1.58489319246112e+003,2.54265518359642e-001,-3.25349612697047e+000,1.00000000000000e-008,0.00000000000000e+000
1.99526231496888e+003,2.51898248430862e-001,-2.58463065704530e+000,1.00000000000000e-008,0.00000000000000e+000
2.51188643150959e+003,2.50425985960930e-001,-2.05340762545188e+000,1.00000000000000e-008,0.00000000000000e+000
3.16227766016839e+003,2.49517742196679e-001,-1.63155004380440e+000,1.00000000000000e-008,0.00000000000000e+000
3.98107170553498e+003,2.48961361633137e-001,-1.29659823297341e+000,1.00000000000000e-008,0.00000000000000e+000
5.01187233627273e+003,2.48620685391083e-001,-1.03071499020166e+000,1.00000000000000e-008,0.00000000000000e+000
6.30957344480195e+003,2.48409024864977e-001,-8.19737614223588e-001,1.00000000000000e-008,0.00000000000000e+000
7.94328234724283e+003,2.48271692532745e-001,-6.52426032306345e-001,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+004,2.48173753402975e-001,-5.19865937605420e-001,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+004,2.48091308561881e-001,-4.14994721626407e-001,1.00000000000000e-008,0.00000000000000e+000
1.58489319246112e+004,2.48005253755134e-001,-3.32225241564140e-001,1.00000000000000e-008,0.00000000000000e+000
1.99526231496889e+004,2.47896452410698e-001,-2.67147794804459e-001,1.00000000000000e-008,0.00000000000000e+000
2.51188643150959e+004,2.47741244315825e-001,-2.16294606321768e-001,1.00000000000000e-008,0.00000000000000e+000
3.16227766016839e+004,2.47506221923628e-001,-1.76954189354584e-001,1.00000000000000e-008,0.00000000000000e+000
3.98107170553498e+004,2.47141115723609e-001,-1.47025327856250e-001,1.00000000000000e-008,0.00000000000000e+000
5.01187233627274e+004,2.46568360774558e-001,-1.24902166113099e-001,1.00000000000000e-008,0.00000000000000e+000
6.30957344480195e+004,2.45667468031232e-001,-1.09382879689337e-001,1.00000000000000e-008,0.00000000000000e+000
7.94328234724284e+004,2.44251801598102e-001,-9.95944138488063e-002,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+005,2.42035125814605e-001,-9.49243986549901e-002,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+005,2.38586311987456e-001,-9.49480295606992e-002,1.00000000000000e-008,0.00000000000000e+000
1.58489319246112e+005,2.33275152667662e-001,-9.93321938490426e-002,1.00000000000000e-008,0.00000000000000e+000
1.99526231496889e+005,2.25224658267834e-001,-1.07693139375278e-001,1.00000000000000e-008,0.00000000000000e+000
2.51188643150959e+005,2.13311190509387e-001,-1.19385310797268e-001,1.00000000000000e-008,0.00000000000000e+000
3.16227766016839e+005,1.96292883716611e-001,-1.33227725702764e-001,1.00000000000000e-008,0.00000000000000e+000
3.98107170553499e+005,1.73169895685880e-001,-1.47260482117065e-001,1.00000000000000e-008,0.00000000000000e+000
5.01187233627274e+005,1.43801813592693e-001,-1.58763420203647e-001,1.00000000000000e-008,0.00000000000000e+000
6.30957344480196e+005,1.09538768861673e-001,-1.64820103504362e-001,1.00000000000000e-008,0.00000000000000e+000
7.94328234724285e+005,7.33110629877276e-002,-1.63403782889173e-001,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+006,3.87814192953809e-002,-1.54345035984933e-001,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+006,8.97640037867794e-003,-1.39369585627949e-001,1.00000000000000e-008,0.00000000000000e+000
1.58489319246112e+006,-1.46269984017885e-002,-1.21166964351137e-001,1.00000000000000e-008,0.00000000000000e+000
1.99526231496889e+006,-3.20757066955489e-002,-1.02273063635420e-001,1.00000000000000e-008,0.00000000000000e+000
2.51188643150959e+006,-4.43285346865283e-002,-8.44470098409894e-002,1.00000000000000e-008,0.00000000000000e+000
3.16227766016839e+006,-5.26246244958114e-002,-6.86061696667506e-002,1.00000000000000e-008,0.00000000000000e+000
3.98107170553499e+006,-5.81024740749357e-002,-5.50429541504350e-002,1.00000000000000e-008,0.00000000000000e+000
5.01187233627275e+006,-6.16573944055368e-002,-4.36805266661577e-002,1.00000000000000e-008,0.00000000000000e+000
6.30957344480196e+006,-6.39347483759194e-002,-3.42644321473611e-002,1.00000000000000e-008,0.00000000000000e+000
7.94328234724285e+006,-6.53754740812614e-002,-2.64782992402868e-002,1.00000000000000e-008,0.00000000000000e+000
1.00000000000000e+007,-6.62698384142818e-002,-2.00034842308631e-002,1.00000000000000e-008,0.00000000000000e+000
1.25892541179417e+007,-6.68024673058693e-002,-1.45446393047056e-002,1.00000000000000e-008,0.00000000000000e+000
