Step,Information:,X=50.2377p,Run:,8/20
1.00000000000000e-001,5.35663309679456e+003,-5.90360097314298e+002,5.02377000000000e-011,0.00000000000000e+000
1.25892541179417e-001,5.31774919468828e+003,-7.37591350415916e+002,5.02377000000000e-011,0.00000000000000e+000
1.58489319246111e-001,5.25731434267628e+003,-9.17560397544534e+002,5.02377000000000e-011,0.00000000000000e+000
1.99526231496888e-001,5.16441359335665e+003,-1.13382920174237e+003,5.02377000000000e-011,0.00000000000000e+000
2.51188643150958e-001,5.02399787596578e+003,-1.38685570093377e+003,5.02377000000000e-011,0.00000000000000e+000
3.16227766016838e-001,4.81709208408713e+003,-1.67072409387574e+003,5.02377000000000e-011,0.00000000000000e+000
3.98107170553497e-001,4.52335498017409e+003,-1.96887303362260e+003,5.02377000000000e-011,0.00000000000000e+000
5.01187233627272e-001,4.12765753258956e+003,-2.25065853671030e+003,5.02377000000000e-011,0.00000000000000e+000
6.30957344480193e-001,3.63066544644481e+003,-2.47288900332082e+003,5.02377000000000e-011,0.00000000000000e+000
7.94328234724282e-001,3.05857917412460e+003,-2.59073357848079e+003,5.02377000000000e-011,0.00000000000000e+000
1.00000000000000e+000,2.46256931198404e+003,-2.57631090093326e+003,5.02377000000000e-011,0.00000000000000e+000
1.25892541179417e+000,1.90280591437763e+003,-2.43319292031672e+003,5.02377000000000e-011,0.00000000000000e+000
1.58489319246111e+000,1.42601889791738e+003,-2.19443406165715e+003,5.02377000000000e-011,0.00000000000000e+000
1.99526231496888e+000,1.05255621184558e+003,-1.90592681142768e+003,5.02377000000000e-011,0.00000000000000e+000
2.51188643150958e+000,7.78773701997403e+002,-1.60876244968327e+003,5.02377000000000e-011,0.00000000000000e+000
3.16227766016838e+000,5.87659550539169e+002,-1.33048700686088e+003,5.02377000000000e-011,0.00000000000000e+000
3.98107170553498e+000,4.58768594292272e+002,-1.08504782916985e+003,5.02377000000000e-011,0.00000000000000e+000
5.01187233627273e+000,3.73848962648574e+002,-8.76677033602184e+002,5.02377000000000e-011,0.00000000000000e+000
6.30957344480194e+000,3.18757543203971e+002,-7.04033538935635e+002,5.02377000000000e-011,0.00000000000000e+000
