Step,Information:,X=2n,Run:,16/20
7.94328234724283e+001,4.55604215152114e+001,-4.83652098824591e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+002,4.47144493088059e+001,-5.18138169876745e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+002,4.36838602295986e+001,-5.60100484443070e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+002,4.24513928704787e+001,-6.05257269632453e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496888e+002,4.10265452598608e+001,-6.49658483934539e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150958e+002,3.94376547916014e+001,-6.90382263682459e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016839e+002,3.77207267075807e+001,-7.25755461463774e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553498e+002,3.59103856364142e+001,-7.55157949253459e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627273e+002,3.40351989199935e+001,-7.78653078845104e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480194e+002,3.21166295276539e+001,-7.96642257005050e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724283e+002,3.01699290561347e+001,-8.09621296867509e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+003,2.82056691119441e+001,-8.18035295989037e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+003,2.62312605862269e+001,-8.22201566046558e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+003,2.42522645581500e+001,-8.22271832985983e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496888e+003,2.22735209341626e+001,-8.18215333982946e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150959e+003,2.03001901980197e+001,-8.09814609710588e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016839e+003,1.83387944517722e+001,-7.96672555071552e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553498e+003,1.63983298405339e+001,-7.78232591026379e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627273e+003,1.44915474327016e+001,-7.53818601266674e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480195e+003,1.26364709274273e+001,-7.22713912201839e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724283e+003,1.08579357487839e+001,-6.84313965806900e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+004,9.18832653503136e+000,-6.38385166748486e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+004,7.66600092642461e+000,-5.85417755566394e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+004,6.32981414732637e+000,-5.26960113429829e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+004,5.20979270849196e+000,-4.65710132795106e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150959e+004,4.31742165227505e+000,-4.05160329130636e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016839e+004,3.64124932332647e+000,-3.48857337881059e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553498e+004,3.15083607223312e+000,-2.99654021575892e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627274e+004,2.80619910034393e+000,-2.59340033245389e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480195e+004,2.56702567006072e+000,-2.28724778820507e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724284e+004,2.39802141087129e+000,-2.07974996963906e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+005,2.27017608216471e+000,-1.96979202891867e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+005,2.15939669096420e+000,-1.95617732893307e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+005,2.04391665120251e+000,-2.03910925674503e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+005,1.90131912625001e+000,-2.22053253797845e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150959e+005,1.70566495509264e+000,-2.50337400115749e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016839e+005,1.42532030057512e+000,-2.88960168345602e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553499e+005,1.02257972646395e+000,-3.37711824962317e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627274e+005,4.56650615385551e-001,-3.95611498779472e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480196e+005,-3.09013538007895e-001,-4.60662834110559e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724285e+005,-1.29663934182291e+000,-5.29972286729760e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+006,-2.50630294871662e+000,-6.00334318704181e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+006,-3.91543981405896e+000,-6.69052445484209e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+006,-5.48589954896074e+000,-7.34561174248043e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+006,-7.17360749339309e+000,-7.96589992969247e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150959e+006,-8.93561946886523e+000,-8.55946230144340e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016839e+006,-1.07326689545570e+001,-9.14144575589734e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553499e+006,-1.25281328739364e+001,-9.73042741942741e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627275e+006,-1.42852624809691e+001,-1.03451680133380e+002,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480196e+006,-1.59644973524417e+001,-1.10013593009362e+002,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724285e+006,-1.75226906249574e+001,-1.17079994703045e+002,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+007,-1.89160700802923e+001,-1.24638358013174e+002,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+007,-2.01076916216103e+001,-1.32555847111101e+002,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+007,-2.10771624904812e+001,-1.40601857842156e+002,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+007,-2.18272498121890e+001,-1.48516034635880e+002,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150959e+007,-2.23827607770803e+001,-1.56093076968321e+002,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016839e+007,-2.27824929175058e+001,-1.63241158577858e+002,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553499e+007,-2.30696113371529e+001,-1.69993783281273e+002,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627275e+007,-2.32852328875665e+001,-1.76487353375451e+002,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480196e+007,-2.34665186552680e+001,1.77072088736593e+002,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724286e+007,-2.36481297246837e+001,1.70437703799098e+002,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000001e+008,-2.38654393393789e+001,1.63342611724648e+002,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+008,-2.41582618354166e+001,1.55515515175916e+002,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+008,-2.45739433500867e+001,1.46694441077771e+002,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+008,-2.51682354425250e+001,1.36634366785255e+002,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150959e+008,-2.60019813615760e+001,1.25086881648107e+002,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016840e+008,-2.71315662552279e+001,1.11703478634898e+002,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553499e+008,-2.85875633268286e+001,9.57896204979589e+001,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627275e+008,-3.03119237480564e+001,7.58668707169169e+001,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480197e+008,-3.19527111447370e+001,4.95019949750630e+001,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724286e+008,-3.25509282783532e+001,1.62067746847600e+001,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000001e+009,-3.13378033688938e+001,-1.67196744714211e+001,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179417e+009,-2.90494831290391e+001,-4.21257019052993e+001,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+009,-2.66020799558687e+001,-6.07640439777381e+001,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+009,-2.43238895678079e+001,-7.53820306374853e+001,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150960e+009,-2.22807079794878e+001,-8.78133199462763e+001,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016840e+009,-2.04820019393737e+001,-9.90517578908694e+001,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553500e+009,-1.89349289690135e+001,-1.09575352665981e+002,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627275e+009,-1.76481432539637e+001,-1.19530315615072e+002,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480197e+009,-1.66223257122402e+001,-1.28850466863809e+002,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724287e+009,-1.58418460313880e+001,-1.37371001685851e+002,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000001e+010,-1.52743124900474e+001,-1.44934526332975e+002,-1.73979400086720e+002,0.00000000000000e+000
1.25892541179418e+010,-1.48775645988211e+001,-1.51458668699348e+002,-1.73979400086720e+002,0.00000000000000e+000
1.58489319246112e+010,-1.46087631988981e+001,-1.56951590011090e+002,-1.73979400086720e+002,0.00000000000000e+000
1.99526231496889e+010,-1.44308284308933e+001,-1.61491181839083e+002,-1.73979400086720e+002,0.00000000000000e+000
2.51188643150960e+010,-1.43149531336037e+001,-1.65193210703007e+002,-1.73979400086720e+002,0.00000000000000e+000
3.16227766016840e+010,-1.42403244683424e+001,-1.68184704968265e+002,-1.73979400086720e+002,0.00000000000000e+000
3.98107170553500e+010,-1.41926115833418e+001,-1.70587343593570e+002,-1.73979400086720e+002,0.00000000000000e+000
5.01187233627276e+010,-1.41622521099147e+001,-1.72509366568672e+002,-1.73979400086720e+002,0.00000000000000e+000
6.30957344480198e+010,-1.41429937118961e+001,-1.74042967919330e+002,-1.73979400086720e+002,0.00000000000000e+000
7.94328234724287e+010,-1.41308011551927e+001,-1.75264632789210e+002,-1.73979400086720e+002,0.00000000000000e+000
1.00000000000000e+011,-1.41230916226454e+001,-1.76236790979811e+002,-1.73979400086720e+002,0.00000000000000e+000
