Step,Information:,X=7.96214n,Run:,19/20
1.00000000000000e-001,7.46288655081584e+001,-6.55990040323679e+000,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e-001,7.45951039561972e+001,-8.23673926896576e+000,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246111e-001,7.45421282298772e+001,-1.03266876873058e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496888e-001,7.44594711058398e+001,-1.29168155521833e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150958e-001,7.43316131439940e+001,-1.60990864511207e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016838e-001,7.41363928129991e+001,-1.99581011418036e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553497e-001,7.38439427203298e+001,-2.45489544814518e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627272e-001,7.34174215564339e+001,-2.98647808408884e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480193e-001,7.28171875137883e+001,-3.58014494134756e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724282e-001,7.20091179269528e+001,-4.21386419480435e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+000,7.09748061223295e+001,-4.85607377229068e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+000,6.97182562120927e+001,-5.47222488524655e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246111e+000,6.82646015287066e+001,-6.03284587606100e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496888e+000,6.66518271686518e+001,-6.51884392373964e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150958e+000,6.49208928150368e+001,-6.92216018072476e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016838e+000,6.31089246530236e+001,-7.24313866530311e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553498e+000,6.12466559587186e+001,-7.48705246461087e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627273e+000,5.93588962010882e+001,-7.66141894284241e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480194e+000,5.74663348263878e+001,-7.77465117903306e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724282e+000,5.55873515949421e+001,-7.83600357503937e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+001,5.37387900245388e+001,-7.85653288221497e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+001,5.19347129357352e+001,-7.85049782737839e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+001,5.01825725323380e+001,-7.83601619798521e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496888e+001,4.84779169150694e+001,-7.83328277724428e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150958e+001,4.68015132252542e+001,-7.85951820278842e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016838e+001,4.51234130002499e+001,-7.92278418899469e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553498e+001,4.34136549772528e+001,-8.01924209427916e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627273e+001,4.16527643974824e+001,-8.13631724324533e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480194e+001,3.98353617119308e+001,-8.25914060983631e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724283e+001,3.79668089309990e+001,-8.37570969845259e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+002,3.60574378133004e+001,-8.47874198527821e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+002,3.41180814615914e+001,-8.56507641996645e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+002,3.21578725165887e+001,-8.63422018689873e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496888e+002,3.01836846511866e+001,-8.68702456198274e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150958e+002,2.82003680192345e+001,-8.72478500023317e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016839e+002,2.62112262898666e+001,-8.74871957951088e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553498e+002,2.42184822441950e+001,-8.75969537935196e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627273e+002,2.22236535223325e+001,-8.75809059213360e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480194e+002,2.02278375422879e+001,-8.74371825674519e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724283e+002,1.82319315291511e+001,-8.71576807580200e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+003,1.62368204233962e+001,-8.67274229686395e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+003,1.42435673549731e+001,-8.61237345837456e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+003,1.22536447895572e+001,-8.53152024598167e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496888e+003,1.02692511231133e+001,-8.42604677079828e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150959e+003,8.29376630780321e+000,-8.29070369985615e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016839e+003,6.33240881211281e+000,-8.11904992833841e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553498e+003,4.39316184612635e+000,-7.90348675781586e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627273e+003,2.48802291388648e+000,-7.63553585242419e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480195e+003,6.34539510801293e-001,-7.30658604052843e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724283e+003,-1.14267692976248e+000,-6.90942523354264e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+004,-2.81129072349196e+000,-6.44083085150287e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+004,-4.33290339429109e+000,-5.90507617293061e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+004,-5.66858897473824e+000,-5.31723651114636e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496889e+004,-6.78825010908016e+000,-4.70406755468548e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150959e+004,-7.68034006043133e+000,-4.10043142842648e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016839e+004,-8.35625654120751e+000,-3.54187890600467e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553498e+004,-8.84638674978466e+000,-3.05716912856175e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627274e+004,-9.19065353070205e+000,-2.66458407649493e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480195e+004,-9.42929020987904e+000,-2.37277662579437e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724284e+004,-9.59747558402029e+000,-2.18417453719659e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+005,-9.72404346625416e+000,-2.09866364165922e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+005,-9.83281178472422e+000,-2.11633881361876e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+005,-9.94511466028462e+000,-2.23904943109303e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496889e+005,-1.00826871875977e+001,-2.47081833208142e+001,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150959e+005,-1.02703940092176e+001,-2.81717348239047e+001,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016839e+005,-1.05381788283604e+001,-3.28330659603511e+001,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553499e+005,-1.09210990755253e+001,-3.87106162022922e+001,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627274e+005,-1.14558255011191e+001,-4.57534950805899e+001,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480196e+005,-1.21725547171440e+001,-5.38167004742534e+001,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724285e+005,-1.30838899961754e+001,-6.26704959690447e+001,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+006,-1.41756942064818e+001,-7.20524174481030e+001,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+006,-1.54052418998936e+001,-8.17359636112138e+001,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+006,-1.67075419449546e+001,-9.15695143695413e+001,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496889e+006,-1.80062016765850e+001,-1.01459300355776e+002,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150959e+006,-1.92253373207982e+001,-1.11311839367432e+002,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016839e+006,-2.03014556362184e+001,-1.20978658292872e+002,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553499e+006,-2.11940678519072e+001,-1.30244775971265e+002,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627275e+006,-2.18913501611739e+001,-1.38872813969549e+002,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480196e+006,-2.24074537962405e+001,-1.46673319288588e+002,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724285e+006,-2.27728283025137e+001,-1.53555144109777e+002,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000000e+007,-2.30230541100492e+001,-1.59533127090125e+002,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+007,-2.31909127243775e+001,-1.64703921062091e+002,-1.61979403807852e+002,0.00000000000000e+000
1.58489319246112e+007,-2.33028996753549e+001,-1.69213006204291e+002,-1.61979403807852e+002,0.00000000000000e+000
1.99526231496889e+007,-2.33789544926679e+001,-1.73228339858860e+002,-1.61979403807852e+002,0.00000000000000e+000
2.51188643150959e+007,-2.34337670991415e+001,-1.76925051962552e+002,-1.61979403807852e+002,0.00000000000000e+000
3.16227766016839e+007,-2.34785857622268e+001,1.79520551037022e+002,-1.61979403807852e+002,0.00000000000000e+000
3.98107170553499e+007,-2.35230740027531e+001,1.75931051722796e+002,-1.61979403807852e+002,0.00000000000000e+000
5.01187233627275e+007,-2.35771365724823e+001,1.72125111304051e+002,-1.61979403807852e+002,0.00000000000000e+000
6.30957344480196e+007,-2.36527826869614e+001,1.67914085488131e+002,-1.61979403807852e+002,0.00000000000000e+000
7.94328234724286e+007,-2.37661276494753e+001,1.63099718698428e+002,-1.61979403807852e+002,0.00000000000000e+000
1.00000000000001e+008,-2.39396114434154e+001,1.57474344292835e+002,-1.61979403807852e+002,0.00000000000000e+000
1.25892541179417e+008,-2.42043317769375e+001,1.50825150429094e+002,-1.61979403807852e+002,0.00000000000000e+000
