Step,Information:,X=5.02377n,Run:,18/20
1.00000000000000e-001,7.46294103329076e+001,-6.45939318487543e+000,-1.65979405036760e+002,0.00000000000000e+000
1.25892541179417e-001,7.45959611480354e+001,-8.11049282809147e+000,-1.65979405036760e+002,0.00000000000000e+000
1.58489319246111e-001,7.45434712811708e+001,-1.01683096115890e+001,-1.65979405036760e+002,0.00000000000000e+000
1.99526231496888e-001,7.44615619424268e+001,-1.27185062917483e+001,-1.65979405036760e+002,0.00000000000000e+000
2.51188643150958e-001,7.43348365297973e+001,-1.58514774434267e+001,-1.65979405036760e+002,0.00000000000000e+000
3.16227766016838e-001,7.41412907666691e+001,-1.96501737628934e+001,-1.65979405036760e+002,0.00000000000000e+000
3.98107170553497e-001,7.38512321004250e+001,-2.41680662843226e+001,-1.65979405036760e+002,0.00000000000000e+000
5.01187233627272e-001,7.34279663976560e+001,-2.93967259193350e+001,-1.65979405036760e+002,0.00000000000000e+000
6.30957344480193e-001,7.28318999351940e+001,-3.52302666023922e+001,-1.65979405036760e+002,0.00000000000000e+000
7.94328234724282e-001,7.20288010808111e+001,-4.14456669255828e+001,-1.65979405036760e+002,0.00000000000000e+000
1.00000000000000e+000,7.10000262382414e+001,-4.77224912028812e+001,-1.65979405036760e+002,0.00000000000000e+000
1.25892541179417e+000,6.97493696098956e+001,-5.37073409979342e+001,-1.65979405036760e+002,0.00000000000000e+000
1.58489319246111e+000,6.83019982183663e+001,-5.90942803444194e+001,-1.65979405036760e+002,0.00000000000000e+000
1.99526231496888e+000,6.66963446221136e+001,-6.36782979259335e+001,-1.65979405036760e+002,0.00000000000000e+000
2.51188643150958e+000,6.49743296924774e+001,-6.73623191923634e+001,-1.65979405036760e+002,0.00000000000000e+000
3.16227766016838e+000,6.31746607765770e+001,-7.01309961414422e+001,-1.65979405036760e+002,0.00000000000000e+000
3.98107170553498e+000,6.13304780806050e+001,-7.20159314412050e+001,-1.65979405036760e+002,0.00000000000000e+000
5.01187233627273e+000,5.94701849154621e+001,-7.30692756492632e+001,-1.65979405036760e+002,0.00000000000000e+000
6.30957344480194e+000,5.76197802922914e+001,-7.33520575979248e+001,-1.65979405036760e+002,0.00000000000000e+000
7.94328234724282e+000,5.58053145928108e+001,-7.29380778759204e+001,-1.65979405036760e+002,0.00000000000000e+000
1.00000000000000e+001,5.40542284807657e+001,-7.19322378092205e+001,-1.65979405036760e+002,0.00000000000000e+000
1.25892541179417e+001,5.23941009621970e+001,-7.04990262963116e+001,-1.65979405036760e+002,0.00000000000000e+000
1.58489319246112e+001,5.08473173349408e+001,-6.88885668754844e+001,-1.65979405036760e+002,0.00000000000000e+000
1.99526231496888e+001,4.94216480811405e+001,-6.74360617219398e+001,-1.65979405036760e+002,0.00000000000000e+000
2.51188643150958e+001,4.81004086596539e+001,-6.65094292463564e+001,-1.65979405036760e+002,0.00000000000000e+000
3.16227766016838e+001,4.68393616918148e+001,-6.64067059503806e+001,-1.65979405036760e+002,0.00000000000000e+000
3.98107170553498e+001,4.55758314975391e+001,-6.72500310227326e+001,-1.65979405036760e+002,0.00000000000000e+000
5.01187233627273e+001,4.42475481367539e+001,-6.89424180334119e+001,-1.65979405036760e+002,0.00000000000000e+000
6.30957344480194e+001,4.28111476051245e+001,-7.12174960187915e+001,-1.65979405036760e+002,0.00000000000000e+000
7.94328234724283e+001,4.12505005434790e+001,-7.37489411669238e+001,-1.65979405036760e+002,0.00000000000000e+000
1.00000000000000e+002,3.95728688700803e+001,-7.62530633436005e+001,-1.65979405036760e+002,0.00000000000000e+000
1.25892541179417e+002,3.77986024543261e+001,-7.85398997106939e+001,-1.65979405036760e+002,0.00000000000000e+000
1.58489319246112e+002,3.59513856938364e+001,-8.05132209439749e+001,-1.65979405036760e+002,0.00000000000000e+000
1.99526231496888e+002,3.40524023098472e+001,-8.21447117274056e+001,-1.65979405036760e+002,0.00000000000000e+000
2.51188643150958e+002,3.21182020705868e+001,-8.34449708802087e+001,-1.65979405036760e+002,0.00000000000000e+000
3.16227766016839e+002,3.01607357212402e+001,-8.44415810793310e+001,-1.65979405036760e+002,0.00000000000000e+000
3.98107170553498e+002,2.81882439584858e+001,-8.51655485708175e+001,-1.65979405036760e+002,0.00000000000000e+000
5.01187233627273e+002,2.62062792494211e+001,-8.56439721799008e+001,-1.65979405036760e+002,0.00000000000000e+000
6.30957344480194e+002,2.42185800021584e+001,-8.58964659444419e+001,-1.65979405036760e+002,0.00000000000000e+000
7.94328234724283e+002,2.22277434499898e+001,-8.59335170207039e+001,-1.65979405036760e+002,0.00000000000000e+000
