Step,Information:,X=31.6979p,Run:,7/20
1.00000000000000e-001,5.35664152420187e+003,-5.90301002328001e+002,3.16979000000000e-011,0.00000000000000e+000
1.25892541179417e-001,5.31776240688527e+003,-7.37517799066993e+002,3.16979000000000e-011,0.00000000000000e+000
1.58489319246111e-001,5.25733492918502e+003,-9.17469443580539e+002,3.16979000000000e-011,0.00000000000000e+000
1.99526231496888e-001,5.16444536747533e+003,-1.13371784053438e+003,3.16979000000000e-011,0.00000000000000e+000
2.51188643150958e-001,5.02404621893215e+003,-1.38672138770971e+003,3.16979000000000e-011,0.00000000000000e+000
3.16227766016838e-001,4.81716409409170e+003,-1.67056564364010e+003,3.16979000000000e-011,0.00000000000000e+000
3.98107170553497e-001,4.52345905972988e+003,-1.96869187297309e+003,3.16979000000000e-011,0.00000000000000e+000
5.01187233627272e-001,4.12780197565938e+003,-2.25045989682886e+003,3.16979000000000e-011,0.00000000000000e+000
6.30957344480193e-001,3.63085597054826e+003,-2.47268211393811e+003,3.16979000000000e-011,0.00000000000000e+000
7.94328234724282e-001,3.05881637981727e+003,-2.59052988900657e+003,3.16979000000000e-011,0.00000000000000e+000
1.00000000000000e+000,2.46284790938024e+003,-2.57612060092967e+003,3.16979000000000e-011,0.00000000000000e+000
1.25892541179417e+000,1.90311665676818e+003,-2.43302179505418e+003,3.16979000000000e-011,0.00000000000000e+000
1.58489319246111e+000,1.42635188060302e+003,-2.19428265706926e+003,3.16979000000000e-011,0.00000000000000e+000
1.99526231496888e+000,1.05290331477697e+003,-1.90579176610209e+003,3.16979000000000e-011,0.00000000000000e+000
2.51188643150958e+000,7.79129318085173e+002,-1.60863839215940e+003,3.16979000000000e-011,0.00000000000000e+000
3.16227766016838e+000,5.88020193621491e+002,-1.33036785166088e+003,3.16979000000000e-011,0.00000000000000e+000
3.98107170553498e+000,4.59132212774281e+002,-1.08492729258907e+003,3.16979000000000e-011,0.00000000000000e+000
5.01187233627273e+000,3.74214375482845e+002,-8.76548643014812e+002,3.16979000000000e-011,0.00000000000000e+000
6.30957344480194e+000,3.19124076582631e+002,-7.03890398069859e+002,3.16979000000000e-011,0.00000000000000e+000
7.94328234724282e+000,2.83741769729217e+002,-5.63030358741730e+002,3.16979000000000e-011,0.00000000000000e+000
1.00000000000000e+001,2.61163622761750e+002,-4.49239928053595e+002,3.16979000000000e-011,0.00000000000000e+000
1.25892541179417e+001,2.46815491214572e+002,-3.57892113650791e+002,3.16979000000000e-011,0.00000000000000e+000
1.58489319246112e+001,2.37721401051310e+002,-2.84854432716212e+002,3.16979000000000e-011,0.00000000000000e+000
1.99526231496888e+001,2.31967075448754e+002,-2.26608815508681e+002,3.16979000000000e-011,0.00000000000000e+000
2.51188643150958e+001,2.28329946183073e+002,-1.80241086518791e+002,3.16979000000000e-011,0.00000000000000e+000
3.16227766016838e+001,2.26032733562830e+002,-1.43376489668597e+002,3.16979000000000e-011,0.00000000000000e+000
3.98107170553498e+001,2.24582694622008e+002,-1.14099362322281e+002,3.16979000000000e-011,0.00000000000000e+000
5.01187233627273e+001,2.23668078061661e+002,-9.08744605752623e+001,3.16979000000000e-011,0.00000000000000e+000
6.30957344480194e+001,2.23091956830460e+002,-7.24769741292755e+001,3.16979000000000e-011,0.00000000000000e+000
7.94328234724283e+001,2.22730169202037e+002,-5.79332335332637e+001,3.16979000000000e-011,0.00000000000000e+000
1.00000000000000e+002,2.22504694979233e+002,-4.64718611634813e+001,3.16979000000000e-011,0.00000000000000e+000
1.25892541179417e+002,2.22366880126127e+002,-3.74842434020899e+001,3.16979000000000e-011,0.00000000000000e+000
1.58489319246112e+002,2.22286948189904e+002,-3.04929847479234e+001,3.16979000000000e-011,0.00000000000000e+000
1.99526231496888e+002,2.22247546833888e+002,-2.51270905207891e+001,3.16979000000000e-011,0.00000000000000e+000
2.51188643150958e+002,2.22239913425072e+002,-2.11028516741335e+001,3.16979000000000e-011,0.00000000000000e+000
3.16227766016839e+002,2.22261752815543e+002,-1.82097156524459e+001,3.16979000000000e-011,0.00000000000000e+000
3.98107170553498e+002,2.22316168894960e+002,-1.63008259210186e+001,3.16979000000000e-011,0.00000000000000e+000
5.01187233627273e+002,2.22410932297757e+002,-1.52884383759188e+001,3.16979000000000e-011,0.00000000000000e+000
6.30957344480194e+002,2.22556784584240e+002,-1.51450987647674e+001,3.16979000000000e-011,0.00000000000000e+000
7.94328234724283e+002,2.22761854247995e+002,-1.59121308273976e+001,3.16979000000000e-011,0.00000000000000e+000
1.00000000000000e+003,2.23015670091832e+002,-1.77167953394355e+001,3.16979000000000e-011,0.00000000000000e+000
1.25892541179417e+003,2.23249810436627e+002,-2.07957172748483e+001,3.16979000000000e-011,0.00000000000000e+000
1.58489319246112e+003,2.23254720200362e+002,-2.55084757279871e+001,3.16979000000000e-011,0.00000000000000e+000
1.99526231496888e+003,2.22536255486559e+002,-3.22927651758452e+001,3.16979000000000e-011,0.00000000000000e+000
2.51188643150959e+003,2.20146162750999e+002,-4.14674339960345e+001,3.16979000000000e-011,0.00000000000000e+000
3.16227766016839e+003,2.14656562550686e+002,-5.28027328785007e+001,3.16979000000000e-011,0.00000000000000e+000
3.98107170553498e+003,2.04583876937945e+002,-6.50001610502720e+001,3.16979000000000e-011,0.00000000000000e+000
5.01187233627273e+003,1.89351097270318e+002,-7.56328399398401e+001,3.16979000000000e-011,0.00000000000000e+000
6.30957344480195e+003,1.70136173436819e+002,-8.20668811000711e+001,3.16979000000000e-011,0.00000000000000e+000
