Step,Information:,X=2n,Run:,16/20
1.25892541179417e+002,8.54361600864075e+001,-1.26712246257659e+002,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+002,6.52474604530971e+001,-1.15445415525072e+002,2.00000000000000e-009,0.00000000000000e+000
1.99526231496888e+002,4.76244779361612e+001,-1.01972289424899e+002,2.00000000000000e-009,0.00000000000000e+000
2.51188643150958e+002,3.35317578424024e+001,-8.75277150809433e+001,2.00000000000000e-009,0.00000000000000e+000
3.16227766016839e+002,2.30333869170759e+001,-7.33898451787560e+001,2.00000000000000e-009,0.00000000000000e+000
3.98107170553498e+002,1.56190898871122e+001,-6.04632960264365e+001,2.00000000000000e-009,0.00000000000000e+000
5.01187233627273e+002,1.05782659982643e+001,-4.91978445600023e+001,2.00000000000000e-009,0.00000000000000e+000
6.30957344480194e+002,7.23925460619668e+000,-3.96941463185436e+001,2.00000000000000e-009,0.00000000000000e+000
7.94328234724283e+002,5.06567593549154e+000,-3.18471679391229e+001,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+003,3.66695340332264e+000,-2.54580028188777e+001,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+003,2.77380481125269e+000,-2.03023852806318e+001,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+003,2.20666333815220e+000,-1.61660730625420e+001,2.00000000000000e-009,0.00000000000000e+000
1.99526231496888e+003,1.84820227790550e+000,-1.28598693383379e+001,2.00000000000000e-009,0.00000000000000e+000
2.51188643150959e+003,1.62266270067979e+000,-1.02236778643662e+001,2.00000000000000e-009,0.00000000000000e+000
3.16227766016839e+003,1.48141300963610e+000,-8.12529055801879e+000,2.00000000000000e-009,0.00000000000000e+000
3.98107170553498e+003,1.39331953097269e+000,-6.45704732174930e+000,2.00000000000000e-009,0.00000000000000e+000
5.01187233627273e+003,1.33852025489152e+000,-5.13199694928847e+000,2.00000000000000e-009,0.00000000000000e+000
6.30957344480195e+003,1.30443744321039e+000,-4.08030743450235e+000,2.00000000000000e-009,0.00000000000000e+000
7.94328234724283e+003,1.28318719301962e+000,-3.24615680413826e+000,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+004,1.26986912636470e+000,-2.58510019783124e+000,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+004,1.26144405351007e+000,-2.06186259278683e+000,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+004,1.25601464334500e+000,-1.64851680937167e+000,2.00000000000000e-009,0.00000000000000e+000
1.99526231496889e+004,1.25237363088997e+000,-1.32300659583789e+000,2.00000000000000e-009,0.00000000000000e+000
2.51188643150959e+004,1.24972015608610e+000,-1.06796679181665e+000,2.00000000000000e-009,0.00000000000000e+000
3.16227766016839e+004,1.24747590346636e+000,-8.69789550188817e-001,2.00000000000000e-009,0.00000000000000e+000
3.98107170553498e+004,1.24515592129931e+000,-7.17888945272467e-001,2.00000000000000e-009,0.00000000000000e+000
5.01187233627274e+004,1.24226363375654e+000,-6.04122148687037e-001,2.00000000000000e-009,0.00000000000000e+000
6.30957344480195e+004,1.23818744280757e+000,-5.22330102808091e-001,2.00000000000000e-009,0.00000000000000e+000
7.94328234724284e+004,1.23207998250379e+000,-4.67961757355086e-001,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+005,1.22270358384802e+000,-4.37741194233459e-001,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+005,1.20823188339278e+000,-4.29323914757433e-001,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+005,1.18601780213461e+000,-4.40866194377800e-001,2.00000000000000e-009,0.00000000000000e+000
1.99526231496889e+005,1.15239076117940e+000,-4.70406910601103e-001,2.00000000000000e-009,0.00000000000000e+000
2.51188643150959e+005,1.10265490007393e+000,-5.14967157647640e-001,2.00000000000000e-009,0.00000000000000e+000
3.16227766016839e+005,1.03162351756316e+000,-5.69393208122347e-001,2.00000000000000e-009,0.00000000000000e+000
3.98107170553499e+005,9.35121499344466e-001,-6.25328402134209e-001,2.00000000000000e-009,0.00000000000000e+000
5.01187233627274e+005,8.12561206058117e-001,-6.71281572587281e-001,2.00000000000000e-009,0.00000000000000e+000
6.30957344480196e+005,6.69575759981361e-001,-6.94973160746302e-001,2.00000000000000e-009,0.00000000000000e+000
7.94328234724285e+005,5.18392766234348e-001,-6.87861209851057e-001,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+006,3.74296394241880e-001,-6.49174857926662e-001,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+006,2.49916076362037e-001,-5.86068687592417e-001,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+006,1.51414745570688e-001,-5.09733668881633e-001,2.00000000000000e-009,0.00000000000000e+000
1.99526231496889e+006,7.85957681191562e-002,-4.30732248729528e-001,2.00000000000000e-009,0.00000000000000e+000
2.51188643150959e+006,2.74568984161258e-002,-3.56396988128997e-001,2.00000000000000e-009,0.00000000000000e+000
3.16227766016839e+006,-7.17446839495977e-003,-2.90558911253654e-001,2.00000000000000e-009,0.00000000000000e+000
3.98107170553499e+006,-3.00518207097574e-002,-2.34452388665957e-001,2.00000000000000e-009,0.00000000000000e+000
5.01187233627275e+006,-4.49152388391905e-002,-1.87782950799528e-001,2.00000000000000e-009,0.00000000000000e+000
6.30957344480196e+006,-5.44640326034997e-002,-1.49528313132674e-001,2.00000000000000e-009,0.00000000000000e+000
7.94328234724285e+006,-6.05480570179307e-002,-1.18423220908811e-001,2.00000000000000e-009,0.00000000000000e+000
1.00000000000000e+007,-6.43941633386501e-002,-9.32110861591165e-002,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+007,-6.67975108504618e-002,-7.27541930098046e-002,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+007,-6.82626626111199e-002,-5.60678764255231e-002,2.00000000000000e-009,0.00000000000000e+000
1.99526231496889e+007,-6.90999531122931e-002,-4.23179102259653e-002,2.00000000000000e-009,0.00000000000000e+000
2.51188643150959e+007,-6.94873182622067e-002,-3.08025864152472e-002,2.00000000000000e-009,0.00000000000000e+000
3.16227766016839e+007,-6.95066451921338e-002,-2.09308235822551e-002,2.00000000000000e-009,0.00000000000000e+000
3.98107170553499e+007,-6.91612096507714e-002,-1.22027248849328e-002,2.00000000000000e-009,0.00000000000000e+000
5.01187233627275e+007,-6.83788320975619e-002,-4.19737813329445e-003,2.00000000000000e-009,0.00000000000000e+000
6.30957344480196e+007,-6.70049312115530e-002,3.42704897250917e-003,2.00000000000000e-009,0.00000000000000e+000
7.94328234724286e+007,-6.47913343587209e-002,1.09147828020054e-002,2.00000000000000e-009,0.00000000000000e+000
1.00000000000001e+008,-6.13917250140750e-002,1.83686437270834e-002,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+008,-5.63849750186640e-002,2.56776762019794e-002,2.00000000000000e-009,0.00000000000000e+000
1.58489319246112e+008,-4.93607037947827e-002,3.24307779065632e-002,2.00000000000000e-009,0.00000000000000e+000
1.99526231496889e+008,-4.00972577637592e-002,3.78725589500175e-002,2.00000000000000e-009,0.00000000000000e+000
2.51188643150959e+008,-2.88025690699036e-002,4.10018624157315e-002,2.00000000000000e-009,0.00000000000000e+000
3.16227766016840e+008,-1.62701783684799e-002,4.08779283665649e-002,2.00000000000000e-009,0.00000000000000e+000
3.98107170553499e+008,-3.75327142730271e-003,3.70169666595497e-002,2.00000000000000e-009,0.00000000000000e+000
5.01187233627275e+008,7.44914401782708e-003,2.95838769814809e-002,2.00000000000000e-009,0.00000000000000e+000
6.30957344480197e+008,1.64017864453876e-002,1.92053785935644e-002,2.00000000000000e-009,0.00000000000000e+000
7.94328234724286e+008,2.26382440291520e-002,6.57992067207614e-003,2.00000000000000e-009,0.00000000000000e+000
1.00000000000001e+009,2.59627143386483e-002,-7.79890622283830e-003,2.00000000000000e-009,0.00000000000000e+000
1.25892541179417e+009,2.61661302043305e-002,-2.36642423352017e-002,2.00000000000000e-009,0.00000000000000e+000
